Title,Authors,Publication Title,Year,Abstract,DOI,Link,Keywords,Citation Count,read,repeated,ACM,SCOPUS,SPRINGER,WOS
A Signature Recognition Technique With a Powerful Verification Mechanism Based on CNN and PCA,G. Abosamra; H. Oqaibi,IEEE Access,2024,"In this paper, we embed a signature verification mechanism in a previously introduced architecture for signature recognition to detect in-distribution and out-of-distribution random forgeries. In the previous architecture, a CNN was trained on the genuine user training dataset and then used as a feature extraction module. A k-NN algorithm with cosine distance was then used to classify the unknown signatures based on the nearest cosine distance neighbor. This architecture led to higher than 99% accuracy, but without verification, because any unknown signature will converge to one of the identities of the training dataset’s users. To add a verification mechanism that differentiates between genuine and random forgeries, we use PCA to select the most discriminating features used in calculating the cosine distance between the training and testing signatures. A fixed parameter thresholding technique based on the training distances is introduced that best differentiates between the genuine and random-user signatures. Moreover, enhancement of the technique is carried out by combining the output of the Softmax layer and the last convolution layer of the ResNet18 model to get a highly discriminative representation of the handwritten signatures. Accordingly, the introduced verification mechanism resulted in very low false positive and negative rates for test signatures from inside and outside the main dataset, with an insignificant decrease in the high identification accuracy. The complete architecture has been tested on three publicly available datasets, showing superior results.",10.1109/ACCESS.2024.3377455,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10472494,Convolutional neural networks;cosine distance;false negative rate;false positive rate;k-Nearest neighbor algorithm;out-of-distribution detection;signature identification;signature verification,4.0,,removed,no,no,no,no
A Simple Normalization Technique Using Window Statistics to Improve the Out-of-Distribution Generalization on Medical Images,C. Zhou; J. Wang; S. Xiang; F. Liu; H. Huang; D. Qian,IEEE Transactions on Medical Imaging,2024,"Since data scarcity and data heterogeneity are prevailing for medical images, well-trained Convolutional Neural Networks (CNNs) using previous normalization methods may perform poorly when deployed to a new site. However, a reliable model for real-world clinical applications should generalize well both on in-distribution (IND) and out-of-distribution (OOD) data (e.g., the new site data). In this study, we present a novel normalization technique called window normalization (WIN) to improve the model generalization on heterogeneous medical images, which offers a simple yet effective alternative to existing normalization methods. Specifically, WIN perturbs the normalizing statistics with the local statistics computed within a window. This feature-level augmentation technique regularizes the models well and improves their OOD generalization significantly. Leveraging its advantage, we propose a novel self-distillation method called WIN-WIN. WIN-WIN can be easily implemented with two forward passes and a consistency constraint, serving as a simple extension to existing methods. Extensive experimental results on various tasks (6 tasks) and datasets (24 datasets) demonstrate the generality and effectiveness of our methods.",10.1109/TMI.2024.3353800,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10399861,Normalization;out-of-distribution generalization;multi-center data,2.0,yes,moved,no,no,no,no
ACGANs Improve Chemical Sensors for Challenging Distributions,A. M. Moore; R. C. Paffenroth; K. T. Ngo; J. R. Uzarski,2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),2022,"Fast and accurate chemical sensors play vital roles in medical, military, and home safety applications. Artificial olfactory systems utilize arrays of chemiresistive sensors to maximize discriminability of chemical analytes given sensor responses. At deployment time, exposures to analytes may differ from training in concentrations, analyte types, and environmental factors. Training machine learning models to remain accurate on distribution-shifted testing data requires performing many diverse, costly experiments in controlled laboratory settings to create a well-rounded training data set. In practice even expensive, large data sets may be insufficient for generalization of a trained model to a real-world testing distribution. It is possible but costly to create large, diverse datasets of single-analyte exposures, but experimentation with multi-analyte combinations quickly becomes intractable. With this in mind, we benchmark and propose machine learning and deep learning approaches to the detection of obscured chemical analytes given only single-analyte training. We significantly improve upon baseline classification of a particular chemical analyte borne in vapor mixed with an obscurant chemical agent by inducing multitask learning through adversarial data synthesizing models. Given chemical analyte exposure times between 0.75 and 5 seconds and across three unique experiment data sets comprised of different sensors and experimental controls, we find approaches utilizing Auxiliary Classifier Generative Adversarial Networks (ACGANs) outperform machine learning and comparable neural network approaches. We corroborate with multitask learning to find that across domains the utilization of generative tasks in supervised learners may increase data efficiency and model robustness to out-of-distribution samples without additional data annotation.",10.1109/ICMLA55696.2022.00047,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069244,Chemical sensors;deep learning;multitask learning,3.0,,removed,no,no,no,yes
Acquire Domain Boundary Consciousness to Promote Operational Design Domain Monitoring of Traffic Conditions,S. Liu; Q. Zhang; P. Wang; W. Li; N. Deng; Z. Dai; Z. Hu,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),2024,"As required by the Safety of the Intended Functionality (SOTIF) standard, to ensure the safe deployment of autonomous driving system (ADS), the system can only operate within its operational design domain (ODD) specified in the design phase. With safety requirements decomposed to a specific AI function module, operating within ODD can be fulfilled by ensuring the AI model to function exclusively in the environment akin to its training world. Thus, domain shift detection, or out-of-distribution (OOD) detection, of observations differentiating from the training dataset can be an effective runtime ODD monitoring approach. However, dynamic driving data, such as traffic conditions, are hard to model due to the additional temporal dimension and intricate interaction relationship between objects, compared to static environment data. In this paper, we employed an ODD monitoring module which consisted of a situational awareness model and an OOD detection algorithm. To promote the ODD monitoring performance, we proposed a novel training method incorporating supervised contrastive learning and near-ODD outlier exposed learning to improve ODD boundary consciousness of the situational awareness model. The experimental results both visually and quantitatively demonstrated the efficacy of our method, and the promising situational awareness modeling results for a specially designed intrinsic traffic condition revealed its potential of practical applications.",10.1109/ITSC58415.2024.10920256,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10920256,,,,removed,no,no,no,yes
ActMAD: Activation Matching to Align Distributions for Test-Time-Training,M. J. Mirza; P. J. Soneira; W. Lin; M. Kozinski; H. Possegger; H. Bischof,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2023,"Test-Time-Training (TTT) is an approach to cope with out-of-distribution (OOD) data by adapting a trained model to distribution shifts occurring at test-time. We propose to perform this adaptation via Activation Matching (ActMAD): We analyze activations of the model and align activation statistics of the OOD test data to those of the training data. In contrast to existing methods, which model the distribution of entire channels in the ultimate layer of the feature extractor, we model the distribution of each feature in multiple layers across the network. This results in a more fine-grained supervision and makes ActMAD attain state of the art performance on CIFAR-100C and Imagenet-C. ActMAD is also architecture-and task-agnostic, which lets us go beyond image classification, and score 15.4% improvement over previous approaches when evaluating a KITTI-trained object detector on KITTI-Fog. Our experiments highlight that ActMAD can be applied to online adaptation in realistic scenarios, requiring little data to attain its full performance.",10.1109/CVPR52729.2023.02313,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203478,Self-supervised or unsupervised representation learning,9.0,yes,moved,no,no,no,yes
Anomaly Detection under Distribution Shift,T. Cao; J. Zhu; G. Pang,2023 IEEE/CVF International Conference on Computer Vision (ICCV),2023,"Anomaly detection (AD) is a crucial machine learning task that aims to learn patterns from a set of normal training samples to identify abnormal samples in test data. Most existing AD studiesassume that the training and test data are drawn from the same data distribution, but the test data can have large distribution shifts arising in many real-world applications due to different natural variations such as new lighting conditions, object poses, or background appearances, rendering existing AD methods ineffective in such cases. In this paper, we consider the problem of anomaly detection under distribution shift and establish performance benchmarks on four widely-used AD and out-of-distribution (OOD) generalization datasets. We demonstrate that simple adaptation of state-of-the-art OOD generalization methods to AD settings fails to work effectively due to the lack of labeled anomaly data. We further introduce a novel robust AD approach to diverse distribution shifts by minimizing the distribution gap between in-distribution and OOD normal samples in both the training and inference stages in an unsupervised way. Our extensive empirical results on the four datasets show that our approach substantially outperforms state-of-the-art AD methods and OOD generalization methods on data with various distribution shifts, while maintaining the detection accuracy on in-distribution data. Code and data are available at https://github.com/mala-lab/ADShift.",10.1109/ICCV51070.2023.00599,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10377640,,25.0,yes,yes,no,yes,no,yes
Adaptive Calibrator Ensemble: Navigating Test Set Difficulty in Out-of-Distribution Scenarios,Y. Zou; W. Deng; L. Zheng,2023 IEEE/CVF International Conference on Computer Vision (ICCV),2023,"Model calibration usually requires optimizing some parameters (e.g., temperature) w.r.t an objective function like negative log-likelihood. This work uncovers a significant but overlooked aspect that the objective function is influenced by calibration set difficulty: the ratio of misclassified to correctly classified samples1. If a test set has a drastically different difficulty level from the calibration set, a phenomenon out-of-distribution (OOD) data often exhibit: the optimal calibration parameters of the two datasets would be different, rendering an optimal calibrator on the calibration set suboptimal on the OOD test set and thus degraded calibration performance. With this knowledge, we propose a simple and effective method named adaptive calibrator ensemble (ACE) to calibrate OOD datasets whose difficulty is usually higher than the calibration set. Specifically, two calibration functions are trained, one for in-distribution data (low difficulty), and the other for severely OOD data (high difficulty). To achieve desirable calibration on a new OOD dataset, ACE uses an adaptive weighting method that strikes a balance between the two extreme functions. When plugged in, ACE generally improves the performance of a few state-of-the-art calibration schemes on a series of OOD benchmarks. Importantly, such improvement does not come at the cost of the in-distribution calibration performance. Project Website: https://github.com/insysgroup/Adaptive-Calibrators-Ensemble.git.",10.1109/ICCV51070.2023.01771,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10378233,,4.0,yes,moved,no,no,no,no
Adaptive Hierarchical Graph Cut for Multi-granularity Out-of-distribution Detection,X. Fang; A. Easwaran; B. Genest; P. N. Suganthan,IEEE Transactions on Artificial Intelligence,2025,"This paper focuses on a significant yet challenging task: out-of-distribution detection (OOD detection), which aims to distinguish and reject test samples with semantic shifts, so as to prevent models trained on in-distribution (ID) data from producing unreliable predictions. Although previous works have had decent success, they are ineffective for real-world challenging applications since these methods regard all unlabeled data as OOD data and ignore the case that different datasets have different label granularity. For example, “cat” on CIFAR-10 and “tabby cat” on Tiny-ImageNet share the same semantics but have different labels due to various label granularity. To this end, in this paper, we propose a novel Adaptive Hierarchical Graph Cut network (AHGC) to deeply explore the semantic relationship between different images. Specifically, we construct a hierarchical KNN graph to evaluate the similarities between different images based on the cosine similarity. Based on the linkage and density information of the graph, we cut the graph into multiple subgraphs to integrate these semantics-similar samples. If the labeled percentage in a subgraph is larger than a threshold, we will assign the label with the highest percentage to unlabeled images. To further improve the model generalization, we augment each image into two augmentation versions, and maximize the similarity between the two versions. Finally, we leverage the similarity score for OOD detection. Extensive experiments on two challenging benchmarks (CIFAR-10 and CIFAR-100) illustrate that in representative cases, AHGC outperforms state-of-the-art OOD detection methods by 81.24% on CIFAR-100 and by 40.47% on CIFAR-10 in terms of “FPR95”.",10.1109/TAI.2025.3550473,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923752,Out-of-distribution Detection;Adaptive Hierarchical Graph Cut;Intra-subgraph Label Assignment,,yes,moved,no,yes,no,no
Adaptive Neural Networks for Intelligent Data-Driven Development,Y. Shocb; A. Nowzad; H. Gottschalk,2025 IEEE Intelligent Vehicles Symposium (IV),2025,"Advances in machine learning methods for computer vision tasks have led to their consideration for safety-critical applications like autonomous driving. However, effectively integrating these methods into the automotive development lifecycle remains challenging. Since the performance of machine learning algorithms relies heavily on the training data provided, the data and model development lifecycle play a key role in successfully integrating these components into the product development lifecycle. Existing models frequently encounter difficulties recognizing or adapting to novel instances not present in the original training dataset. This poses a significant risk for reliable deployment in dynamic environments. To address this challenge, we propose an adaptive neural network architecture and an iterative development framework that enables users to efficiently incorporate previously unknown objects into the current perception system. Our approach builds on continuous learning, emphasizing the necessity of dynamic updates to reflect real-world deployment conditions. Specifically, we introduce a pipeline with three key components: (1) a scalable network extension strategy to integrate new classes while preserving existing performance, (2) a dynamic OoD detection component that requires no additional retraining for newly added classes, and (3) a retrieval-based data augmentation process tailored for safety-critical deployments. The integration of these components establishes a pragmatic and adaptive pipeline for the continuous evolution of perception systems in the context of autonomous driving.",10.1109/IV64158.2025.11097822,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11097822,,1.0,yes,moved,no,no,no,no
Addressing the Impact of Localized Training Data in Graph Neural Networks,A. Akansha,2023 7th International Conference on Computer Applications in Electrical Engineering-Recent Advances (CERA),2023,"In the realm of Graph Neural Networks (GNNs), which excel at capturing intricate dependencies in graph-structured data, we address a significant limitation. Most state-of-the-art GNNs assume an in-distribution setting, limiting their performance on real-world dynamic graphs. This article seeks to assess the influence of training GNNs using localized subsets of graphs. Such constrained training data could result in a model performing well in the specific trained region, but struggling to generalize and provide accurate predictions for the entire graph. Within the realm of graph-based semi-supervised learning (SSL), resource constraints frequently give rise to situations where a substantial dataset is available, yet only a fraction of it can be labeled. Such circumstances directly impact the model’s efficacy. The limitations stemming from localized training data significantly impact tasks such as anomaly and spam detection, especially when labeling processes are biased or influenced by human subjectivity. To address these challenges, we frame the issue as an out-of-distribution (OOD) data problem. This involves aligning the distributions between the training data, which constitutes a small fraction of labeled data, and the graph inference process responsible for predicting the entire graph. To mitigate these challenges, we introduce a regularization method designed to minimize distributional discrepancies between 10-calized training data and the graph inference process. This regularization technique enhances the model’s performance on OOD data. Rigorous testing on well-established Graph Neural Network (GNN) models demonstrates significant performance improvements across three citation GNN benchmark datasets. The regularization approach not only improves model adaptation but also enhances generalization, effectively overcoming the challenges posed by OOD data. 1.",10.1109/CERA59325.2023.10455308,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10455308,Graph neural networks (GNNs);Out-of-distribution (OOD) graph data;Semi-supervised learning;Distributional discrepancy in graph data,,,removed,no,yes,no,no
ADMEOOD: Out-of-Distribution Benchmark for Drug Property Prediction,S. Wei; Y. Guo; X. Wen; S. Li; L. Zhu; R. Zhu,2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2023,"Obtaining accurate and effective information for drug molecules is a crucial and challenging task, which relies on high-quality chemical knowledge. However, chemical knowledge has been accumulated over the past 100 years from various regions, laboratories, and experimental purposes, which contains a lot of noise and inconsistency, leading to the out-of-distribution (OOD) problem. OOD may results in weak robustness and unsatisfied performance. In order to solve OOD learning problem with noise, a novel benchmark: ADMEOOD is proposed, which is a systematic OOD dataset curator and specifically designed for drug property prediction. ADMEOOD screens 27 Absorption, Distribution, Metabolism and Excretion (ADME) drug properties from Chembl and relevant literature. This paper explicitly make distinctions between two kinds of OOD data shifts: Noise Shift and Concept Conflict Drift (CCD). Overall, ADME contains 6 domain annotations combined with noise, CCD and no shifts, resulting in 18 different splits in total. ADMEOOD provides performance results on a variety of SOTA OOD models. The results demonstrate a significant difference performance between in-distribution and OOD data. Moreover, Empirical Risk Minimization and other models exhibit distinct trends in different domains and measurement types. The ADMEOOD benchmark can be accessed via https://github.com/qweasdzxc-wsy/ADMEOOD/.",10.1109/BIBM58861.2023.10385708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10385708,ADME;Benchmark;Drug property prediction;Out-of-distribution,1.0,,removed,no,no,no,no
