Authors,Title,Year,Publication Title,Citation Count,DOI,Link,Abstract,Keywords,Type,read,repeated,ACM,IEEE,SPRINGER,WOS
"Guo, C.; Shang, Z.; Ren, J.; Zhao, Z.; Ding, B.; Wang, S.; Chen, X.",CIS2N: Causal independence and sparse shift network for rotating machinery fault diagnosis in unseen domains,2024,Reliability Engineering and System Safety,6,10.1016/j.ress.2024.110381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200012547&doi=10.1016%2Fj.ress.2024.110381&partnerID=40&md5=d611028194e6ec4f428ef49ef74b51d3,"Intelligent fault diagnosis (IFD) based on deep learning (DL) has demonstrated its powerful performance to promote the reliability and safe operation of rotating machinery. In industrial applications, working condition changes frequently, leading to models’ performance degeneration due to out-of-distribution (OOD) samples, such as vibration signals with unseen rotating speeds, loads, etc. To address this issue, domain generalization fault diagnosis (DGFD) has attracted increasing attention. However, mainstream DGFD methods are implemented from statical dependence, which fail to excavate intrinsic causal mechanisms and have limited performance and reliability. From a causal view, the causal independence and sparse shift network (CIS2N) is proposed to diagnose via causal mechanisms. Specially, a structural causal model (SCM) representing causal relations of features in IFD is given. Based on the SCM, it is derived that features are jointly independent and feature deviation between intervened sample pairs is sparse. The dependence among features is measured via the covariance matrices constructed by high-level features mapped by random Fourier features (RFF). Meanwhile the L1-distance between pairs of features with the same causal features (intervened pair) is calculated and optimized to realize shift sparsity. The effectiveness of the proposed CIS2N on DGFD is demonstrated on two real helical gearbox datasets. © 2024 Elsevier B.V., All rights reserved.",Causality; Deep learning; Domain generalization; Gearbox; Intelligent fault diagnosis,Article,,removed,no,no,no,yes
"Li, X.; Huang, Y.; Guan, Q.",CLIP-driven Coarse-to-fine Semantic Guidance for Fine-grained Open-set Semi-supervised Learning,2025,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,0,10.1109/CVPR52734.2025.02822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017073426&doi=10.1109%2FCVPR52734.2025.02822&partnerID=40&md5=fdba59fa4fd57427b844bb59f42f627d,"Fine-grained open-set semi-supervised learning (OSSL) investigates a practical scenario where unlabeled data may contain fine-grained out-of-distribution (OOD) samples. Due to the subtle visual differences among in-distribution (ID) samples, as well as between ID and OOD samples, it is extremely challenging to separate the ID and OOD samples. Recent Vision-Language Models, such as CLIP, have shown excellent generalization capabilities. However, it tends to focus on general attributes, and thus is insufficient to distinguish the fine-grained details. To tackle the issues, in this paper, we propose a novel CLIP-driven coarse-to-fine semantic-guided framework, named CFSG-CLIP, to progressively focus on the distinctive fine-grained clues. Specifically, CFSG-CLIP comprises a coarse-guidance branch and a fine-guidance branch derived from the pre-trained CLIP model. In the coarse-guidance branch, we design a semantic filtering module to initially filter and highlight local visual features guided by cross-modality features. Then, in the fine-guidance branch, we further design a visual-semantic injection strategy, which embeds category-related visual cues into the visual encoder to further refine the local visual features. By the designed dual-guidance framework, local subtle cues are progressively discovered to distinct the subtle difference between ID and OOD samples. Extensive experiments demonstrate that CFSG-CLIP achieves competitive performance on multiple fine-grained datasets. The source code is available at https://github.com/LxxxxK/CFSG-CLIP. © 2025 Elsevier B.V., All rights reserved.",fine-grained; ood detection; open-set; semi-supervised learning,Conference paper,,removed,no,yes,no,no
"Zhu, L.; Yang, Y.; Nie, Z.; Gao, Y.; Li, J.; Gu, Q.; Wang, X.; Zhou, C.; Ye, N.",InfoBound: A Provable Information-Bounds Inspired Framework for Both OoD Generalization and OoD Detection,2025,IEEE Transactions on Pattern Analysis and Machine Intelligence,0,10.1109/TPAMI.2025.3595676,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012636227&doi=10.1109%2FTPAMI.2025.3595676&partnerID=40&md5=49d0d39df49af60d728c6d703cc4d47e,"In real-world scenarios, distribution shifts give rise to the importance of two problems: out-of-distribution (OoD) generalization, which focuses on models’ generalization ability against covariate shifts (i.e., the changes of environments), and OoD detection, which aims to be aware of semantic shifts (i.e., test-time unseen classes). Real-world testing environments often involve a combination of both covariate and semantic shifts. While numerous methods have been proposed to address these critical issues, only a few works tackled them simultaneously. Moreover, prior works often improve one problem but sacrifice the other. To overcome these limitations, we delve into boosting OoD detection and OoD generalization from the perspective of information theory, which can be easily applied to existing models and different tasks. Building upon the theoretical bounds for mutual information and conditional entropy, we provide a unified approach, composed of Mutual Information Minimization (MI-Min) and Conditional Entropy Maximizing (CE-Max). Extensive experiments and comprehensive evaluations on multi-label image classification and object detection have demonstrated the superiority of our method. It successfully mitigates trade-offs between the two challenges compared to competitive baselines. © 2025 Elsevier B.V., All rights reserved.",bound minimization; conditional entropy; mutual information; OoD detention; OoD generalization,Article,yes,yes,no,yes,no,yes
"Campagner, A.; Agnello, L.; Carobene, A.; Padoan, A.; Del Ben, F.; Locatelli, M.; Plebani, M.; Ognibene, A.; Lorubbio, M.; de Vecchi, E.; Cortegiani, A.; Piva, E.; Poz, D.; Curcio, F.; Cabitza, F.; Ciaccio, M.",Complete Blood Count and Monocyte Distribution Width–Based Machine Learning Algorithms for Sepsis Detection: Multicentric Development and External Validation Study,2025,Journal of Medical Internet Research,6,10.2196/55492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219300548&doi=10.2196%2F55492&partnerID=40&md5=a758b2fc7bc2a9b7ee9dc99f688f1d55,"Background: Sepsis is an organ dysfunction caused by a dysregulated host response to infection. Early detection is fundamental to improving the patient outcome. Laboratory medicine can play a crucial role by providing biomarkers whose alteration can be detected before the onset of clinical signs and symptoms. In particular, the relevance of monocyte distribution width (MDW) as a sepsis biomarker has emerged in the previous decade. However, despite encouraging results, MDW has poor sensitivity and positive predictive value when compared to other biomarkers. Objective: This study aims to investigate the use of machine learning (ML) to overcome the limitations mentioned earlier by combining different parameters and therefore improving sepsis detection. However, making ML models function in clinical practice may be problematic, as their performance may suffer when deployed in contexts other than the research environment. In fact, even widely used commercially available models have been demonstrated to generalize poorly in out-of-distribution scenarios. Methods: In this multicentric study, we developed ML models whose intended use is the early detection of sepsis on the basis of MDW and complete blood count parameters. In total, data from 6 patient cohorts (encompassing 5344 patients) collected at 5 different Italian hospitals were used to train and externally validate ML models. The models were trained on a patient cohort encompassing patients enrolled at the emergency department, and it was externally validated on 5 different cohorts encompassing patients enrolled at both the emergency department and the intensive care unit. The cohorts were selected to exhibit a variety of data distribution shifts compared to the training set, including label, covariate, and missing data shifts, enabling a conservative validation of the developed models. To improve generalizability and robustness to different types of distribution shifts, the developed ML models combine traditional methodologies with advanced techniques inspired by controllable artificial intelligence (AI), namely cautious classification, which gives the ML models the ability to abstain from making predictions, and explainable AI, which provides health operators with useful information about the models’ functioning. Results: The developed models achieved good performance on the internal validation (area under the receiver operating characteristic curve between 0.91 and 0.98), as well as consistent generalization performance across the external validation datasets (area under the receiver operating characteristic curve between 0.75 and 0.95), outperforming baseline biomarkers and state-of-the-art ML models for sepsis detection. Controllable AI techniques were further able to improve performance and were used to derive an interpretable set of diagnostic rules. Conclusions: Our findings demonstrate how controllable AI approaches based on complete blood count and MDW may be used for the early detection of sepsis while also demonstrating how the proposed methodology can be used to develop ML models that are more resistant to different types of data distribution shifts. © 2025 Elsevier B.V., All rights reserved.",artificial intelligence; biomarker; clinical signs; clinical symptoms; complete blood count; controllable AI; data distribution; detection; development study; diagnostic; early detection; external validation; machine learning; machine learning model; medical machine learning; organ; organ dysfunction; sepsis; sepsis detection; validation study,Article,,removed,no,no,no,yes
"Marvasti, A.E.; Marvasti, E.E.; Bagci, U.","Out of Distribution Detection, Generalization, and Robustness Triangle with Maximum Probability Theorem",2022,,0,10.1109/ICECCME55909.2022.9988128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146421176&doi=10.1109%2FICECCME55909.2022.9988128&partnerID=40&md5=a1b98d584541a51aec286077106682b2,"Maximum Probability Framework, powered by Maximum Probability Theorem, is a recent theoretical development in artificial intelligence, aiming to formally define probabilistic models, guiding development of objective functions, and regularization of probabilistic models. MPT uses the probability distribution that the models assume on random variables to provide an upper bound on the probability of the model. We apply MPT to challenging out-of-distribution (OOD) detection problems in computer vision by incorporating MPT as a regularization scheme in the training of CNNs and their energy-based variants. We demonstrate the effectiveness of the proposed method on 1080 trained models, with varying hyperparameters, and conclude that the MPT-based regularization strategy stabilizes and improves the generalization and robustness of base models in addition to enhanced OOD performance on CIFAR10, CIFAR100, and MNIST datasets. © 2023 Elsevier B.V., All rights reserved.",deep learning; maximum probability theorem; Out of distribution detection; regularization; robustness,Conference paper,yes,yes,no,yes,no,no
"Li, J.; Zhang, X.; Zou, H.; Guo, Y.; Xu, R.; Liu, Y.; Zhu, C.; He, Y.; Cui, P.",COUNTS: Benchmarking Object Detectors and Multimodal Large Language Models under Distribution Shifts,2025,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,0,10.1109/CVPR52734.2025.00858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017066123&doi=10.1109%2FCVPR52734.2025.00858&partnerID=40&md5=8560cbc5538aa5f54fd14fd4ca17ae84,"Current object detectors often suffer significant performance degradation in real-world applications when encountering distributional shifts. Consequently, the out-of-distribution (OOD) generalization capability of object detectors has garnered increasing attention from researchers. Despite this growing interest, there remains a lack of a large-scale, comprehensive dataset and evaluation benchmark with fine-grained annotations tailored to assess the OOD generalization on more intricate tasks like object detection and grounding. To address this gap, we introduce COUNTS, a large-scale OOD dataset with object-level annotations. COUNTS encompasses 14 natural distributional shifts, over 222K samples, and more than 1,196K labeled bounding boxes. Leveraging COUNTS, we introduce two novel benchmarks: O(OD)1 and OODG. O(OD)1 is designed to comprehensively evaluate the OOD generalization capabilities of object detectors by utilizing controlled distribution shifts between training and testing data. OODG, on the other hand, aims to assess the OOD generalization of grounding abilities in multimodal large language models (MLLMs). Our findings reveal that, while large models and extensive pre-training data substantially enhance performance in in-distribution (IID) scenarios, significant limitations and opportunities for improvement persist in OOD contexts for both object detectors and MLLMs. In visual grounding tasks, even the advanced GPT-4o and Gemini-1.5 only achieve 56.7% and 28.0% accuracy, respectively. We hope COUNTS facilitates advancements in the development and assessment of robust object detectors and MLLMs capable of maintaining high performance under distributional shifts. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,yes,no,no
"Gwon, K.; Yoo, J.",Out-of-Distribution (OOD) Detection and Generalization Improved by Augmenting Adversarial Mixup Samples,2023,Electronics (Switzerland),7,10.3390/electronics12061421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151747114&doi=10.3390%2Felectronics12061421&partnerID=40&md5=36c63e3d60f5b65ca8562209cef28fdb,"Deep neural network (DNN) models are usually built based on the i.i.d. (independent and identically distributed), also known as in-distribution (ID), assumption on the training samples and test data. However, when models are deployed in a real-world scenario with some distributional shifts, test data can be out-of-distribution (OOD) and both OOD detection and OOD generalization should be simultaneously addressed to ensure the reliability and safety of applied AI systems. Most existing OOD detectors pursue these two goals separately, and therefore, are sensitive to covariate shift rather than semantic shift. To alleviate this problem, this paper proposes a novel adversarial mixup (AM) training method which simply executes OOD data augmentation to synthesize differently distributed data and designs a new AM loss function to learn how to handle OOD data. The proposed AM generates OOD samples being significantly diverged from the support of training data distribution but not completely disjoint to increase the generalization capability of the OOD detector. In addition, the AM is combined with a distributional-distance-aware OOD detector at inference to detect semantic OOD samples more efficiently while being robust to covariate shift due to data tampering. Experimental evaluation validates that the designed AM is effective on both OOD detection and OOD generalization tasks compared to previous OOD detectors and data mixup methods. © 2023 Elsevier B.V., All rights reserved.",deep neural network; OOD detection; OOD generalization; reliability; safety,Article,yes,yes,no,no,no,yes
"Zhu, L.; Yang, Y.; Gu, Q.; Wang, X.; Zhou, C.; Ye, N.",CRoFT: Robust Fine-Tuning with Concurrent Optimization for OOD Generalization and Open-Set OOD Detection,2024,Proceedings of Machine Learning Research,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203821362&partnerID=40&md5=7b5f0233f74a19db003d9640ed7bb67b,"Recent vision-language pre-trained models (VL-PTMs) have shown remarkable success in open-vocabulary tasks.However, downstream use cases often involve further fine-tuning of VL-PTMs, which may distort their general knowledge and impair their ability to handle distribution shifts.In real-world scenarios, machine learning systems inevitably encounter both covariate shifts (e.g., changes in image styles) and semantic shifts (e.g., test-time unseen classes).This highlights the importance of enhancing out-of-distribution (OOD) generalization on covariate shifts and simultaneously detecting semantic-shifted unseen classes.Thus a critical but underexplored question arises: How to improve VL-PTMs' generalization ability to closed-set OOD data, while effectively detecting open-set unseen classes during fine-tuning? In this paper, we propose a novel objective function of OOD detection that also serves to improve OOD generalization.We show that minimizing the gradient magnitude of energy scores on training data leads to domain-consistent Hessians of classification loss, a strong indicator for OOD generalization revealed by theoretical analysis.Based on this finding, we have developed a unified fine-tuning framework that allows for concurrent optimization of both tasks.Extensive experiments have demonstrated the superiority of our method.The code is available at https://github.com/LinLLLL/CRoFT. © 2024 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,no,no,no
"Srinivaas, A.; Sakthivel, N.R.; Nair, B.B.",Cross domain fault diagnosis in internal combustion engines using multisensor data with transfer federated and transformer based federated transfer learning,2025,Scientific Reports,0,10.1038/s41598-025-20692-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019328785&doi=10.1038%2Fs41598-025-20692-5&partnerID=40&md5=8b31632eec2ba3217d00492920534ce7,"This article presents experimental fault diagnosis research of engines through the integration of bidirectional transfer learning, federated learning, and a new hybrid architecture of Transformer and Deep Neural Networks (DNNs) for out-of-distribution (OOD) testing. For the research purpose, two unique engine datasets were chosen: one for standard car engines and generators, and the other for engines of remote-controlled model cars and drones. For the initial step, bidirectional transfer learning through the employment of traditional DNNs was utilized to eliminate the domain difference among these heterogeneous engine datasets so that fault diagnosis can be effectively achieved for small and large engines. The second step was to develop a federated learning system to facilitate collaborative DNN model training on decentralized engine data to ensure data privacy with overall enhanced generalization. Lastly, the research proposes a federated transfer learning approach that employs Transformer-DNN hybrid architecture. The Transformer component, with positional encoding and multi-head attention mechanisms, was tailored to extract sequential dependencies in engine operational data, whereas the DNN part was dedicated to discriminative feature extraction for classification. Outstanding results show that transfer learning and federated transfer learning are highly effective in fault diagnosis of small engines; however, OOD testing based on the hybrid architecture substantially enhances accuracy in fault detection for large engines. Comparative experiments show significant improvements in classification accuracy and robustness in comparison to baseline DNN models. These results form a convincing basis for the development of scalable, privacy-preserving predictive maintenance systems that are flexible for deployment on a range of engine applications within both automotive and unmanned systems environments. © 2025 Elsevier B.V., All rights reserved.",Bidirectional transfer learning; Cross-domain diagnosis model; Domain adaptation (DANN) transformer-enhanced models; Federated transfer learning; Out-of-distribution validation(OOD),Article,,removed,no,no,yes,no
"Bai, H.; Du, X.; Rainey, K.; Parameswaran, S.; Li, Y.",Out-of-Distribution Learning with Human Feedback,2025,Transactions on Machine Learning Research,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005223122&partnerID=40&md5=42f8f00983dae0f1057b229c8e5154ee,"Out-of-distribution (OOD) learning often relies on strong statistical assumptions or prede-fined OOD data distributions, limiting its effectiveness in real-world deployment for both OOD generalization and detection, especially when human inspection is minimal. This paper introduces a novel framework for OOD learning that integrates human feedback to enhance model adaptation and reliability. Our approach leverages freely available unlabeled data in the wild, which naturally captures environmental test-time OOD distributions under both covariate and semantic shifts. To effectively utilize such data, we propose selectively acquiring human feedback to label a small subset of informative samples. These labeled samples are then used to train both a multi-class classifier and an OOD detector. By incor-porating human feedback, our method significantly improves model robustness and precision in handling OOD scenarios. We provide theoretical insights by establishing generalization error bounds for our algorithm. Extensive experiments demonstrate that our approach outperforms state-of-the-art methods by a significant margin. Code is publicly available at https://github.com/HaoyueBaiZJU/ood-hf. © 2025 Elsevier B.V., All rights reserved.",,Article,yes,no,no,no,no,no
"Jia, M.; Xie, C.; Jing, L.",Debiasing Multimodal Sarcasm Detection with Contrastive Learning,2024,Proceedings of the AAAI Conference on Artificial Intelligence,29,10.1609/aaai.v38i16.29795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185658679&doi=10.1609%2Faaai.v38i16.29795&partnerID=40&md5=b025f74afa4b09a044a5bd3b51f2f91e,"Despite commendable achievements made by existing work, prevailing multimodal sarcasm detection studies rely more on textual content over visual information. It unavoidably induces spurious correlations between textual words and labels, thereby significantly hindering the models’ generalization capability. To address this problem, we define the task of out-of-distribution (OOD) multimodal sarcasm detection, which aims to evaluate models’ generalizability when the word distribution is different in training and testing settings. Moreover, we propose a novel debiasing multimodal sarcasm detection framework with contrastive learning, which aims to mitigate the harmful effect of biased textual factors for robust OOD generalization. In particular, we first design counterfactual data augmentation to construct the positive samples with dissimilar word biases and negative samples with similar word biases. Subsequently, we devise an adapted debiasing contrastive learning mechanism to empower the model to learn robust task-relevant features and alleviate the adverse effect of biased words. Extensive experiments show the superiority of the proposed framework. © 2024 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,no,no,no
"Viviers, C.; Valiuddin, A.; Caetano, F.; Abdi, L.; Filatova, L.; de With, P.; van der Sommen, F.",Can Your Generative Model Detect Out-of-Distribution Covariate Shift?,2025,Lecture Notes in Computer Science,1,10.1007/978-3-031-91585-7_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007224429&doi=10.1007%2F978-3-031-91585-7_12&partnerID=40&md5=ff4acc210eac0c4290b4bd3c212784b6,"Detecting Out-of-Distribution (OOD) sensory data and covariate distribution shift aims to identify new test examples with different high-level image statistics to the captured, normal and In-Distribution (ID) set. Existing OOD detection literature largely focuses on semantic shift with little-to-no consensus over covariate shift. Generative models capture the ID data in an unsupervised manner, enabling them to effectively identify samples that deviate significantly from this learned distribution, irrespective of the downstream task. In this work, we elucidate the ability of generative models to detect and quantify domain-specific covariate shift through extensive analyses that involves a variety of models. To this end, we conjecture that it is sufficient to detect most occurring sensory faults (anomalies and deviations in global signals statistics) by solely modeling high-frequency signal-dependent and independent details. We propose a novel method, CovariateFlow, for OOD detection, specifically tailored to covariate heteroscedastic high-frequency image-components using conditional Normalizing Flows (cNFs). Our results on CIFAR10 vs. CIFAR10-C and ImageNet200 vs. ImageNet200-C demonstrate the effectiveness of the method by accurately detecting OOD covariate shift. This work contributes to enhancing the fidelity of imaging systems and aiding machine learning models in OOD detection in the presence of covariate shift. The code for CovariateFlow is available at https://github.com/cviviers/CovariateFlow. © 2025 Elsevier B.V., All rights reserved.",Covariate Shift; Generative Modelling; Normalizing Flows; Out-of-Distribution Detection; Sensory Anomalies,Conference paper,yes,moved,yes,no,yes,yes
"Lukovnikov, D.; Däubener, S.; Fischer, A.",Detecting Compositionally Out-of-Distribution Examples in Semantic Parsing,2021,,6,10.18653/v1/2021.findings-emnlp.54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129171081&doi=10.18653%2Fv1%2F2021.findings-emnlp.54&partnerID=40&md5=326b1775af270de760481c12997f74c1,"While neural networks are ubiquitous in state-of-the-art semantic parsers, it has been shown that most standard models suffer from dramatic performance losses when faced with compositionally out-of-distribution (OOD) data. Recently several methods have been proposed to improve compositional generalization in semantic parsing. In this work we instead focus on the problem of detecting compositionally OOD examples with neural semantic parsers, which, to the best of our knowledge, has not been investigated before. We investigate several strong yet simple methods for OOD detection based on predictive uncertainty. The experimental results demonstrate that these techniques perform well on the standard SCAN and CFQ datasets. Moreover, we show that OOD detection can be further improved by using a heterogeneous ensemble. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,no,no,yes
"Seemakurthy, K.; Fox, C.; Aptoula, E.; Bosilj, P.",Domain Generalised Faster R-CNN,2023,,7,10.1609/aaai.v37i2.25312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167721923&doi=10.1609%2Faaai.v37i2.25312&partnerID=40&md5=1cc8295b3052820f97ac71ed7f30b44e,"Domain generalisation (i.e. out-of-distribution generalisation) is an open problem in machine learning, where the goal is to train a model via one or more source domains, that will generalise well to unknown target domains. While the topic is attracting increasing interest, it has not been studied in detail in the context of object detection. The established approaches all operate under the covariate shift assumption, where the conditional distributions are assumed to be approximately equal across source domains. This is the first paper to address domain generalisation in the context of object detection, with a rigorous mathematical analysis of domain shift, without the covariate shift assumption. We focus on improving the generalisation ability of object detection by proposing new regularisation terms to address the domain shift that arises due to both classification and bounding box regression. Also, we include an additional consistency regularisation term to align the local and global level predictions. The proposed approach is implemented as a Domain Generalised Faster R-CNN and evaluated using four object detection datasets which provide domain metadata (GWHD, Cityscapes, BDD100K, Sim10K) where it exhibits a consistent performance improvement over the baselines. All the codes for replicating the results in this paper can be found at https://github.com/karthikiitm87/domain-generalisation.git © 2024 Elsevier B.V., All rights reserved.",,Conference paper,yes,moved,no,no,no,yes
"Seemakurthy, K.; Bosilj, P.; Aptoula, E.; Fox, C.",Domain Generalised Fully Convolutional One Stage Detection,2023,Proceedings - IEEE International Conference on Robotics and Automation,4,10.1109/ICRA48891.2023.10160937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168708908&doi=10.1109%2FICRA48891.2023.10160937&partnerID=40&md5=4753144d37c0f229f5605c6ceedf836a,"Real-time vision in robotics plays an important role in localising and recognising objects. Recently, deep learning approaches have been widely used in robotic vision. However, most of these approaches have assumed that training and test sets come from similar data distributions, which is not valid in many real world applications. This study proposes an approach to address domain generalisation (i.e. out-of-distribution generalisation, OODG) where the goal is to train a model via one or more source domains, that will generalise well to unknown target domains using single stage detectors. All existing approaches which deal with OODG either use slow two stage detectors or operate under the covariate shift assumption which may not be useful for real-time robotics. This is the first paper to address domain generalisation in the context of single stage anchor free object detector FCOS without the covariate shift assumption. We focus on improving the generalisation ability of object detection by proposing new regularisation terms to address the domain shift that arises due to both classification and bounding box regression. Also, we include an additional consistency regularisation term to align the local and global level predictions. The proposed approach is implemented as a Domain Generalised Fully Convolutional One Stage (DGFCOS) detection and evaluated using four object detection datasets which provide domain metadata (GWHD, Cityscapes, BDD100K, Sim10K) where it exhibits a consistent performance improvement over the baselines and is able to run in real-time for robotics. © 2023 Elsevier B.V., All rights reserved.",,Conference paper,yes,moved,no,yes,no,yes
"Al-Fawa'Reh, M.; Abu-Khalaf, J.; Janjua, N.; Szewczyk, P.",Detection of on-manifold adversarial attacks via latent space transformation,2025,Computers and Security,0,10.1016/j.cose.2025.104431,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001169409&doi=10.1016%2Fj.cose.2025.104431&partnerID=40&md5=68641328e15cee38d691abbd715690da,"Out-of-distribution (OOD) generalization is critical for reliable intrusion detection systems (IDS), yet current methods often falter against stealthy, on-manifold adversarial attacks that mimic ID data. To solve this challenge, we propose a semi-supervised approach that applies an invertible transformation to the latent space and leverages changes in differential entropy to detect OOD samples. Experiments on the KDD99 and X-IIoTID datasets demonstrate that our approach outperforms state-of-the-art defenses, providing enhanced robustness and generalizability for IDS. © 2025 Elsevier B.V., All rights reserved.",Intrusion detection; Machine learning; Robustness,Article,,removed,no,no,no,no
"Baek, E.; Park, K.; Kim, J.; Kim, H.-S.",Unexplored Faces of Robustness and Out-of-Distribution: Covariate Shifts in Environment and Sensor Domains,2024,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,3,10.1109/CVPR52733.2024.02104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202358682&doi=10.1109%2FCVPR52733.2024.02104&partnerID=40&md5=7df8b2a755658bd341105721ba4f200a,"Computer vision applications predict on digital images acquired by a camera from physical scenes through light. However, conventional robustness benchmarks rely on perturbations in digitized images, diverging from distribution shifts occurring in the image acquisition process. To bridge this gap, we introduce a new distribution shift dataset, ImageNet-ES, comprising variations in environmental and camera sensor factors by directly capturing 202k images with a real camera in a controllable testbed. With the new dataset, we evaluate out-of-distribution (OOD) detection and model robustness. We find that existing OOD detection methods do not cope with the covariate shifts in ImageNet-ES, implying that the definition and detection of OOD should be revisited to embrace real-world distribution shifts. We also observe that the model becomes more robust in both ImageNet-C and -ES by learning environment and sensor variations in addition to existing digital augmentations. Lastly, our results suggest that effective shift mitigation via camera sensor control can significantly improve performance without increasing model size. With these findings, our benchmark may aid future research on robustness, OOD, and camera sensor control for computer vision. Our code and dataset are available at https://github.com/Edw2n/ImageNet-ES. © 2024 Elsevier B.V., All rights reserved.",Datasets; Out-of-Distribution; Robustness,Conference paper,yes,yes,no,yes,no,yes
"Sun, X.; Wu, Z.; Ji, Y.; Zhan, Z.",centroIDA: Cross-domain class discrepancy minimization based on accumulative class-centroids for Imbalanced Domain Adaptation,2024,Expert Systems with Applications,1,10.1016/j.eswa.2024.124718,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198584258&doi=10.1016%2Fj.eswa.2024.124718&partnerID=40&md5=15be6c713f841b45e1cdf386459bc9d0,"Unsupervised Domain Adaptation (UDA) is a critical task in transfer learning, which seeks to apply the knowledge acquired in one domain (the source domain) to a different but related domain (the target domain). In this context, the two domains exhibit Out-Of-Distribution(OOD), and the label information of the target domain is unavailable. Although numerous UDA methods have made significant strides in mitigating the discrepancies in feature distributions across domains, they often neglect a more prevalent real-world scenario. This scenario, referred to as Imbalanced Domain Adaptation (IDA) task, is characterized by the coexistence of differences in both feature and label distributions. Our empirical analysis suggests that overlooking the disparities in label distributions can severely compromise the performance of the model, thereby limiting the generalizability of domain adaptation models. Consequently, our objective is to introduce a model capable of concurrently addressing differences in both feature and label distributions, thereby fostering a broader application of domain adaptation methodologies. In this paper, we propose a cross-domain class discrepancy minimization method based on accumulative class-centroids for IDA, termed as centroIDA. The strategies of accumulative class-centroids alignment and class-wise feature alignment pay heed to the relationship between cross-domain intra-class features and inter-class features, thereby facilitating conditional feature alignment to overcome both feature and label distribution differences simultaneously. Our experimental evaluation on OfficeHome and DomainNet datasets reveals that, in comparison to TIToK (a novel method also designed to tackle the IDA problem), our method enhances the average accuracy by 5.6% and 2.7%, respectively. Furthermore, as the label shift intensifies, our method consistently outperforms other methods, demonstrating a robust resistance to label shift. © 2024 Elsevier B.V., All rights reserved.",Covariate shift; Cross-domain classification; Domain adaptation; Label shift; Long-tailed distribution,Article,yes,moved,no,no,no,yes
"Zhang, Y.; Yang, B.; Zhao, Z.",Differential out-of-distribution error guidance for unknown bearing fault diagnosis with conditional diffusion model,2025,Engineering Applications of Artificial Intelligence,2,10.1016/j.engappai.2025.111350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008336701&doi=10.1016%2Fj.engappai.2025.111350&partnerID=40&md5=969fdf1f4a4d367a517a4c838dcfdd09,"In the modern machinery industry, bearing fault diagnosis is crucial for ensuring operational efficiency and reliability. However, methods based on closed-set assumptions face challenges in addressing the issue of unknown faults. In particular, out-of-distribution (OOD) detection is susceptible to interference from the overlap between training data distribution and the features of unknown samples, resulting in degraded diagnostic performance. To overcome this limitation, we propose a novel bearing fault diagnosis method that designs a conditional diffusion model to detect bearing faults by exploiting differential OOD error. This approach enhances the identification of unknown fault types. Our method involves training an encoder on in-distribution (ID) samples to extract feature representations and logits. These extracted features are then used to guide the diffusion model in sample reconstruction by amplifying the reconstruction error of OOD samples. Additionally, we incorporate a weighted scoring mechanism that combines the prediction confidence of a pre-trained classifier with the evaluation of the reconstructed data. We validated the proposed method through experiments on two rotating machinery datasets. The results demonstrate that our approach effectively diagnoses both known and unknown bearing faults with an accuracy of 94.3%. Under cross-domain conditions, the performance degradation is kept at 2.8%, which has good generalization. Based on the accurate classification of known faults, a robust solution is provided for the reliable identification of unknown faults including single and compound faults. © 2025 Elsevier B.V., All rights reserved.",Bearing fault diagnosis; Compound fault; Conditional diffusion model; Feature extraction; Out-of-distribution detection,Article,,removed,no,no,no,yes
