Keywords,Abstract,DOI,Link,Year,Title,Authors,Read,Type,Publication Title,Citation Count,Repeated,SCOPUS,IEEE,SPRINGER,WOS,,
"conformal inference, online prediction, distribution shift, prediction set, online convex optimization","We consider the problem of forming prediction sets in an online setting where the distribution generating the data is allowed to vary over time. Previous approaches to this problem suffer from over-weighting historical data and thus may fail to quickly react to the underlying dynamics. Here, we correct this issue and develop a novel procedure with provably small regret over all local time intervals of a given width. We achieve this by modifying the adaptive conformal inference (ACI) algorithm of Gibbs and Cand\`{e}s (2021) to contain an additional step in which the step-size parameter of ACI's gradient descent update is tuned over time. Crucially, this means that unlike ACI, which requires knowledge of the rate of change of the data-generating mechanism, our new procedure is adaptive to both the size and type of the distribution shift. Our methods are highly exible and can be used in combination with any baseline predictive algorithm that produces point estimates or estimated quantiles of the target without the need for distributional assumptions. We test our techniques on two real-world datasets aimed at predicting stock market volatility and COVID-19 case counts and find that they are robust and adaptive to real-world distribution shifts.",,,2024,Conformal inference for online prediction with arbitrary distribution shifts,"Gibbs, Isaac and Cand\`{e}s, Emmanuel",,article,J. Mach. Learn. Res.,,removed,no,no,no,no,539,???
"Adaptive Learning, Data Distribution Shifts, Explainable AI","Adapting to data distribution shifts after training remains a significant challenge within the realm of Artificial Intelligence. This paper presents a refined approach, superior to Automated Hyper Parameter Tuning methods, that effectively detects and learns from such shifts to improve the efficacy of prediction models. By integrating Explainable AI (XAI) techniques into adaptive learning with SHAP clustering, we generate interpretable model explanations and use these insights for adaptive refinement. Our three-stage process: (1) SHAP value generation for the model explanation, (2) clustering these values for pattern identification, and (3) model refinement based on the derived SHAP cluster characteristics, mitigates overfitting and ensures robust data shift handling. We evaluate our method on a comprehensive dataset comprising energy consumption records of buildings, as well as two additional datasets, to assess the transferability of our approach to other domains, regression, and classification problems. Our experiments highlight that our method not only improves predictive performance in both task types but also delivers interpretable model explanations, offering significant value in dealing with the challenges of data distribution shifts in AI.",10.1007/978-981-99-8391-9_12,https://doi.org/10.1007/978-981-99-8391-9_12,2023,Coping with&nbsp;Data Distribution Shifts: XAI-Based Adaptive Learning with&nbsp;SHAP Clustering for&nbsp;Energy Consumption Prediction,"Clement, Tobias and Nguyen, Hung Truong Thanh and Kemmerzell, Nils and Abdelaal, Mohamed and Stjelja, Davor",,inproceedings,,,removed,no,no,no,no,,
"Distributions-free, Distributions-shift detect, Conformal Martingales, Conformal Prediction, Statistical Learning Theory",,10.1016/j.procs.2023.08.153,https://doi.org/10.1016/j.procs.2023.08.153,2023,Distributions-free Martingales Test Distributions-shift,"Xi, Zepu and Chen, Hongbo and Chen, Xiaoqian and Yao, Wen",,article,Procedia Comput. Sci.,,removed,no,no,no,no,,
"semi-supervised learning, resource constraint, distribution shift","Semi-supervised learning (SSL) tries to improve performance with the use of massive unlabeled data, which typically works in an offline manner with two assumptions. i) Data distribution is static; ii) Data storage overhead is unlimited. In many online tasks, however, none of the above assumptions is valid. For example, in online image classification, a large amount of unlabeled images increases sharply, which makes it difficult to store them in full; meanwhile, the content of unlabeled images changes constantly, and it is no longer suitable to assume a fixed distribution. We call such a novel setting Resource Constrained SSL under Distribution Shift (or Record for short) and to our best knowledge, it has not been thoroughly studied yet. This paper presents a systemic solution Record consisting of three sub-steps, that is, distribution tracking, sample selection and model updating. Specifically, we propose an effective method to track the distribution changes and locate distribution shifted samples. A novel influence-based approach is used to select the most influential samples for the distribution change based on resource constraints. Finally, we free up memory to put the latest unlabeled data with its pseudo-label for the next distribution tracking. Extensive empirical results confirm the effectiveness of our scheme. In the case of diverse and unknown distribution shifts, our solution is consistently and clearly better than many baseline and SOTA methods along with the memory budget and in some cases it can even approximate the performance of oracle.",10.1145/3394486.3403214,https://doi.org/10.1145/3394486.3403214,2020,RECORD: Resource Constrained Semi-Supervised Learning under Distribution Shift,"Guo, Lan-Zhe and Zhou, Zhi and Li, Yu-Feng",yes,inproceedings,,,removed,no,no,no,no,721,
"Confidence estimation, Distribution shift, Fault diagnosis, Model calibration, Out-of-distribution sample, Trustworthy artificial intelligence",,10.1016/j.compind.2025.104334,https://doi.org/10.1016/j.compind.2025.104334,2025,Evaluating calibration of deep fault diagnostic models under distribution shift,"Xiao, Yiming and Shao, Haidong and Liu, Bin",,article,Comput. Ind.,,removed,NO,NO,no,YES,698,
"distributional shift, web search, offline evaluation, Click models","Many click models have been proposed to interpret logs of natural interactions with search engines and extract unbiased information for evaluation or learning. The experimental setup used to evaluate them typically involves measuring two metrics, namely the test perplexity for click prediction and normalized discounted cumulative gain for relevance estimation. In both cases, the data used for training and testing is assumed to be collected using the same ranking policy. We question this assumption.Important downstream tasks based on click models involve evaluating a different policy than the training policy—that is, click models need to operate under policy distributional shift (PDS). We show that click models are sensitive to it. This can severely hinder their performance on the targeted task: conventional evaluation metrics cannot guarantee that a click model will perform equally well under distributional shift.To more reliably predict click model performance under PDS, we propose a new evaluation protocol. It allows us to compare the relative robustness of six types of click models under various shifts, training configurations, and downstream tasks. We obtain insights into the factors that worsen the sensitivity to PDS and formulate guidelines to mitigate the risks of deploying policies based on click models.",10.1145/3569086,https://doi.org/10.1145/3569086,2023,Evaluating the Robustness of Click Models to Policy Distributional Shift,"Deffayet, Romain and Renders, Jean-Michel and De Rijke, Maarten",,article,ACM Trans. Inf. Syst.,,removed,no,no,no,no,,
"reliability, ood detection, image, distributional shift, camera, autonomous driving","Deep neural networks are at the heart of safety-critical applications such as autonomous driving. Distributional shift is a typical problem in predictive modeling, when the feature distribution of inputs and outputs varies between the training and test stages. When used on data different from the training distribution, neural networks provide little or no performance guarantees on such out-of-distribution (OOD) inputs. Monitoring distributional shift can help assess reliability of neural network predictions with the purpose of predicting potential safety-critical contexts. With our research, we evaluate state of the art OOD detection methods on autonomous driving camera data, while also demonstrating the influence of OOD data on the prediction reliability of neural networks. We evaluate three different OOD detection methods: As a baseline method we employ a variational autoencoder (VAE) trained on the similar data as the perception network (depth estimation) and use a reconstruction error based out of distribution measure. As a second approach, we choose to evaluate a method termed Likelihood Regret, which has been shown to be an efficient likelihood based OOD measure for VAEs. As a third approach, we evaluate another recently introduced method based on generative modelling termed SSD, which uses self-supervised representation learning followed by a distance based detection in the feature space, to calculate the outlier score. We compare all 3 methods and evaluate them concurrently with the error of an depth estimation network. Results show that while the reconstruction error based OOD metric is not able to differentiate between in and out of distribution data across all scenarios, the likelihood regret based OOD metric as well as the SSD outlier score perform fairly well in OOD detection. Their metrics are also highly correlated with perception error, rendering them promising candidates for an autonomous driving system reliability monitor.",10.1145/3488904.3493382,https://doi.org/10.1145/3488904.3493382,2021,Monitoring perception reliability in autonomous driving: Distributional shift detection for estimating the impact of input data on prediction accuracy,"Hell, Franz and Hinz, Gereon and Liu, Feng and Goyal, Sakshi and Pei, Ke and Lytvynenko, Tetiana and Knoll, Alois and Yiqiang, Chen",yes,inproceedings,,,moved,NO,NO,no,NO,1025,
"embedding disentanglement, recommender systems, temporal popularity distribution shifts","Many modern recommender systems represent user and item attributes as embedding vectors, relying on them for accurate recommendations. However, entangled embeddings often capture not only intrinsic property factors (e.g., user interest in item property) but also popularity factors (e.g., user conformity to item popularity) indistinguishably. These embeddings, influenced by popularity distribution, may face challenges when the popularity distribution at test time differs from historical distribution. Existing remedies in the literature involve disentangled embedding learning, which aims to separately capture intrinsic and popularity factors, demonstrating plausible generalization during popularity distribution shifts. However, we highlight that these methods often overlook a crucial aspect of popularity shifts-their temporal nature-in both training and inference phases. To address this, we propose Temporal Popularity distribution shift generalizABle recommender system (TPAB), a novel disentanglement framework incorporating temporal popularity. TPAB introduce a new (1) temporal-aware embedding design for users and items. Within this design, (2) popularity coarsening and (3) popularity bootstrapping are proposed to enhance generalization further. We also provide theoretical analysis showing that the bootstrapping loss eliminates the effect of popularity on the learned model. During inference, we infer test-time popularity and corresponding embeddings, using them alongside property embeddings for prediction. Extensive experiments on real-world datasets validate TPAB, showcasing its outstanding generalization ability during temporal popularity distribution shifts.",10.1145/3690624.3709299,https://doi.org/10.1145/3690624.3709299,2025,Generalizable Recommender System During Temporal Popularity Distribution Shifts,"Yoo, Hyunsik and Qiu, Ruizhong and Xu, Charlie and Wang, Fei and Tong, Hanghang",,inproceedings,,,removed,no,no,no,no,761,???
"distribution shifts, fairness, graph neural networks","Graph neural networks (GNNs) have achieved remarkable performance on graph-structured data. However, GNNs may inherit prejudice from the training data and make discriminatory predictions based on sensitive attributes, such as gender and race. Recently, there has been an increasing interest in ensuring fairness on GNNs, but all of them are under the assumption that the training and testing data are under the same distribution, i.e., training data and testing data are from the same graph. Will graph fairness performance decrease under distribution shifts? How does distribution shifts affect graph fairness learning? All these open questions are largely unexplored from a theoretical perspective. To answer these questions, we first theoretically identify the factors that determine bias on a graph. Subsequently, we explore the factors influencing fairness on testing graphs, with a noteworthy factor being the representation distances of certain groups between the training and testing graph. Motivated by our theoretical analysis, we propose our framework FatraGNN. Specifically, to guarantee fairness performance on unknown testing graphs, we propose a graph generator to produce numerous graphs with significant bias and under different distributions. Then we minimize the representation distances for each certain group between the training graph and generated graphs. This empowers our model to achieve high classification and fairness performance even on generated graphs with significant bias, thereby effectively handling unknown testing graphs. Experiments on real-world and semi-synthetic datasets demonstrate the effectiveness of our model in terms of both accuracy and fairness.",10.1145/3589334.3645508,https://doi.org/10.1145/3589334.3645508,2024,Graph Fairness Learning under Distribution Shifts,"Li, Yibo and Wang, Xiao and Xing, Yujie and Fan, Shaohua and Wang, Ruijia and Liu, Yaoqi and Shi, Chuan",,inproceedings,,,removed,no,no,no,no,1032,???
"adaptation, distribution shift, generalization, graph machine learning, large language model","Graph machine learning has been extensively studied in both academia and industry. Although booming with a vast number of emerging methods and techniques, most of the literature is built on the in-distribution (I.D.) hypothesis, i.e., testing and training graph data are sampled from the identical distribution. However, this I.D. hypothesis can hardly be satisfied in many real-world graph scenarios where the model performance substantially degrades when there exist distribution shifts between testing and training graph data. To solve this critical problem, several advanced graph machine learning techniques which go beyond the I.D. hypothesis, have made great progress and attracted ever-increasing attention from the research community. This tutorial is to disseminate and promote the recent research achievement on graph out-of-distribution adaptation, graph out-of-distribution generalization, and large language models for tackling distribution shifts, which are exciting and fast-growing research directions in the general field of machine learning and data mining. We will advocate novel, high-quality research findings, as well as innovative solutions to the challenging problems in graph machine learning under distribution shifts and the applications on graphs. This topic is at the core of the scope of The Web Conference, and is attractive to machine learning as well as data mining audience from both academia and industry.",10.1145/3701716.3715863,https://doi.org/10.1145/3701716.3715863,2025,"Graph Machine Learning under Distribution Shifts: Adaptation, Generalization and Extension to LLM","Wang, Xin and Li, Haoyang and Zhang, Zeyang and Zhu, Wenwu",,inproceedings,,,removed,NO,NO,no,YES,???,
"Distribution shift, Named entity recognition","When processing natural language, we are frequently confronted with the problem of distribution shift. For example, using a model trained on a news corpus to subsequently process legal text exhibits reduced performance. While this problem is well-known, to this point, there has not been a systematic study of detecting shifts and investigating the impact shifts have on model performance for NLP tasks. Therefore, in this paper, we detect and measure two types of distribution shift, across three different representations, for 12 benchmark Named Entity Recognition datasets. We show that both input shift and label shift can lead to dramatic performance degradation. For example, fine-tuning on a wide spectrum dataset (OntoNotes) and testing on an email dataset (CEREC) that shares labels leads to a 63-points drop in F1 performance. Overall, our results indicate that the measurement of distribution shift can provide guidance to the amount of data needed for fine-tuning and whether or not a model can be used “off-the-shelf” without subsequent fine-tuning. Finally, our results show that shift measurement can play an important role in NLP model pipeline definition.",10.1007/s10579-024-09754-8,https://doi.org/10.1007/s10579-024-09754-8,2024,How different is different? Systematically identifying distribution shifts and their impacts in NER datasets: How different is different? Systematically identifying...,"Li, Xue and Groth, Paul",,article,Lang. Resour. Eval.,,removed,no,no,yes,no,,
"automatic machine learning, hyperparameter optimization, temporal distribution shift","In this work, we propose a hyperparameter optimization method named HyperTime to find hyperparameters robust to potential temporal distribution shifts in the unseen test data. Our work is motivated by an important observation that it is, in many cases, possible to achieve temporally robust predictive performance via hyperparameter optimization. Based on this observation, we leverage the 'worst-case-oriented' philosophy from the robust optimization literature to help find such robust hyperparameter configurations. HyperTime imposes a lexicographic priority order on average validation loss and worst-case validation loss over chronological validation sets. We perform a theoretical analysis on the upper bound of the expected test loss, which reveals the unique advantages of our approach. We also demonstrate the strong empirical performance of the proposed method on multiple machine learning tasks with temporal distribution shifts. The algorihtm is available in ~https://microsoft.github.io/FLAML/.",10.1145/3664647.3681608,https://doi.org/10.1145/3664647.3681608,2024,HyperTime: Hyperparameter Optimization for Combating Temporal Distribution Shifts,"Zhang, Shaokun and Wu, Yiran and Zheng, Zhonghua and Wu, Qingyun and Wang, Chi",,inproceedings,,,removed,no,no,no,no,,
"diachronic semantic shift, domain entities, semantic shift field, semantic shift reasons","In academic literature, the semantic evolution of scientific terms reflects the development of domain knowledge. While there have been studies using diachronic word embeddings to reveal cultural and social shifts, research on the semantic evolution of scientific terms remains limited. This paper proposes a method utilizing diachronic semantic vectors to elucidate the semantic evolution of scientific entities. Firstly, diachronic semantic vectors of entities are trained using incremental learning to compute the semantic shift (ΔA) of a given entity A between periods t1 and t2. Secondly, entities similar to ΔA in periods t1 and t2 are defined as leading reasons and accompanying reasons, respectively. The experiment result shows that the leading reasons can capture the shifts of entities in the nascent stage, and the accompanying reasons can capture the shifts of words in the mature stage. The proposed method offers a better quantitative insight into the details and reasons behind domain knowledge evolution.",10.1002/pra2.1134,https://doi.org/10.1002/pra2.1134,2024,Identifying Semantic Shift Reasons of Domain Entities Using Diachronic Embedding,"Du, Chenxin and Ye, Chao and Chen, Guo",,article,Proceedings of the Association for Information Science and Technology,,removed,no,no,no,no,,
"Machine learning, Deep learning, Distribution shifts, Performance prediction, End-to-end autonomous driving","A Deep Neural Network (DNN)’s prediction may be unreliable outside of its training distribution despite high levels of accuracy obtained during model training. The DNN may experience different degrees of accuracy degradation for different levels of distribution shifts, hence it is important to predict its performance (accuracy) under distribution shifts. In this paper, we consider the end-to-end approach to autonomous driving of using a DNN to map from an input image to the control action such as the steering angle. For each input image with possible perturbations that cause distribution shifts, we design a Performance Prediction Module to compute its anomaly score, and use it to predict the DNN’s expected prediction error, i.e., its expected deviation from the ground truth (optimal) control action, which is not available after deployment. If the expected prediction error is too large, then the DNN’s prediction may no longer be trusted, and remedial actions should be taken to ensure safety. We consider different methods for computing the anomaly score for the input image, including using the reconstruction error of an Autoencoder, or applying an Anomaly Detection algorithm to a hidden layer of the DNN. We present performance evaluation of the different methods in terms of both prediction accuracy and execution time on different hardware platforms, in order to provide a useful reference for the designer to choose among the different methods.",10.1007/s11265-023-01893-5,https://doi.org/10.1007/s11265-023-01893-5,2023,Efficient Performance Prediction of End-to-End Autonomous Driving Under Continuous Distribution Shifts Based on Anomaly Detection,"Luan, Siyu and Gu, Zonghua and Wan, Shaohua",yes,article,J. Signal Process. Syst.,,moved,no,no,yes,no,,
