Title,Publication Title,DOI,Authors,Year,Link,Type,read,Repeated,ACM,SCOPUS,IEEE,WOS
Domain Game: Disentangle Anatomical Feature for&#xa0;Single Domain Generalized Segmentation,Computational Mathematics Modeling in Cancer Analysis,10.1007/978-3-031-73360-4_5,Hao ChenHongrun ZhangU. Wang ChanRui YinXiaofei WangChao Li,2025,https://link.springer.com/chapter/10.1007/978-3-031-73360-4_5,Conference paper,yes,moved,no,no,no,yes
Cross domain fault diagnosis in internal combustion engines using multisensor data with transfer federated and transformer based federated transfer learning,Scientific Reports,10.1038/s41598-025-20692-5,A. SrinivaasN. R. SakthivelBinoy B. Nair,2025,https://link.springer.com/article/10.1038/s41598-025-20692-5,Article,,removed,no,yes,no,no
Cross-Domain Causal Preference Learning for Out-of-Distribution Recommendation,Database Systems for Advanced Applications,10.1007/978-981-97-5555-4_16,Zhuhang LiNing Yang,2025,https://link.springer.com/chapter/10.1007/978-981-97-5555-4_16,Conference paper,,removed,no,no,no,yes
Domain Generalisation for&#xa0;Glaucoma Detection in&#xa0;Retinal Images from&#xa0;Unseen Fundus Cameras,Intelligent Information and Database Systems,10.1007/978-3-031-21967-2_34,Hansi GunasingheJames McKelvieAbigail KoayMichael Mayo,2022,https://link.springer.com/chapter/10.1007/978-3-031-21967-2_34,Conference paper,yes,moved,no,no,no,no
Domain Generalization by&#xa0;Mutual-Information Regularization with&#xa0;Pre-trained Models,Computer Vision – ECCV 2022,10.1007/978-3-031-20050-2_26,Junbum ChaKyungjae LeeSungrae ParkSanghyuk Chun,2022,https://link.springer.com/chapter/10.1007/978-3-031-20050-2_26,Conference paper,yes,moved,no,no,no,no
CUQ-GNN: Committee-Based Graph Uncertainty Quantification Using Posterior Networks,Machine Learning and Knowledge Discovery in Databases. Research Track and Demo Track,10.1007/978-3-031-70371-3_18,Clemens DamkeEyke Hüllermeier,2024,https://link.springer.com/chapter/10.1007/978-3-031-70371-3_18,Conference paper,,removed,no,no,no,no
Domain generalization for semantic segmentation: a survey,Artificial Intelligence Review,10.1007/s10462-024-10817-z,Taki Hasan RafiRatul MahjabinEmon GhoshYoung-Woong KoJeong-Gun Lee,2024,https://link.springer.com/article/10.1007/s10462-024-10817-z,Article,yes,moved,no,no,no,yes
Domain generalization through meta-learning: a survey,Artificial Intelligence Review,10.1007/s10462-024-10922-z,Arsham Gholamzadeh KhoeeYinan YuRobert Feldt,2024,https://link.springer.com/article/10.1007/s10462-024-10922-z,Article,yes,moved,no,no,no,yes
Domain Generalization via&#xa0;Implicit Domain Augmentation,Neural Information Processing,10.1007/978-981-99-8132-8_33,Zhijie RaoQi DongChaoqi ChenYue HuangXinghao Ding,2024,https://link.springer.com/chapter/10.1007/978-981-99-8132-8_33,Conference paper,yes,moved,no,no,no,no
Domain Generalized Myocardial Pathology Segmentation via&#xa0;Data Statistics Modeling and&#xa0;Feature Covariance Alignment,Comprehensive Analysis and Computing of Real-World Medical Images,10.1007/978-3-031-87009-5_5,Jinwei DongKaiwen WanBogen LinMingjing Yang,2025,https://link.springer.com/chapter/10.1007/978-3-031-87009-5_5,Conference paper,yes,moved,no,no,no,no
Data splitting to avoid information leakage with DataSAIL,Nature Communications,10.1038/s41467-025-58606-8,Roman JoeresDavid B. BlumenthalOlga V. Kalinina,2025,https://link.springer.com/article/10.1038/s41467-025-58606-8,Article,,removed,no,,,
Data-Adaptive Weight-Ensembling for Multi-task Model Fusion,International Journal of Computer Vision,10.1007/s11263-025-02434-2,Anke TangLi ShenYong LuoShiwei LiuHan HuBo DuDacheng Tao,2025,https://link.springer.com/article/10.1007/s11263-025-02434-2,Article,,removed,no,,,
Data-driven Wireless Positioning,Unlocking Artificial Intelligence,10.1007/978-3-031-64832-8_10,Maximilian StahlkeTobias FeiglSebastian KramJonathan OttJochen SeitzChristopher Mutschler,2024,https://link.springer.com/chapter/10.1007/978-3-031-64832-8_10,Chapter,,removed,no,no,no,no
Domain-Specific Bias Filtering for Single Labeled Domain Generalization,International Journal of Computer Vision,10.1007/s11263-022-01712-7,Junkun YuanXu MaDefang ChenKun KuangFei WuLanfen Lin,2022,https://link.springer.com/article/10.1007/s11263-022-01712-7,Article,yes,moved,no,no,no,no
Decoding Individual and&#xa0;Shared Experiences of&#xa0;Media Perception Using CNN Architectures,Medical Image Understanding and Analysis,10.1007/978-3-031-48593-0_14,Riddhi JohriPankaj PandeyKrishna Prasad MiyapuramJames Derek Lomas,2024,https://link.springer.com/chapter/10.1007/978-3-031-48593-0_14,Conference paper,,removed,no,no,no,no
DRGen: Domain Generalization in&#xa0;Diabetic Retinopathy Classification,Medical Image Computing and Computer Assisted Intervention – MICCAI 2022,10.1007/978-3-031-16434-7_61,Mohammad AtwanyMohammad Yaqub,2022,https://link.springer.com/chapter/10.1007/978-3-031-16434-7_61,Conference paper,yes,moved,no,no,no,no
Deep Learning applications for COVID-19,Journal of Big Data,10.1186/s40537-020-00392-9,Connor ShortenTaghi M. KhoshgoftaarBorko Furht,2021,https://link.springer.com/article/10.1186/s40537-020-00392-9,Article,,removed,no,no,no,no
Deep learning for accelerated and robust MRI reconstruction,"Magnetic Resonance Materials in Physics, Biology and Medicine",10.1007/s10334-024-01173-8,Reinhard HeckelMathews JacobAkshay ChaudhariOr PerlmanEfrat Shimron,2024,https://link.springer.com/article/10.1007/s10334-024-01173-8,Article,,removed,no,no,no,no
Deep learning for multivariate time series anomaly detection: an evaluation of reconstruction-based methods,Artificial Intelligence Review,10.1007/s10462-025-11401-9,Mohammed A. YahyaAntonio R. MoyaSebastián Ventura,2025,https://link.springer.com/article/10.1007/s10462-025-11401-9,Article,,removed,no,no,no,no
Deep Learning for&#xa0;Healthcare: A Web-Microservices System Ready for&#xa0;Chest Pathology Detection,Good Practices and New Perspectives in Information Systems and Technologies,10.1007/978-3-031-60218-4_16,Sebastián QuevedoHamed Behzadi-KhormoujiFederico DomínguezEnrique Peláez,2024,https://link.springer.com/chapter/10.1007/978-3-031-60218-4_16,Conference paper,,removed,no,,,
Deep learning framework for land cover and land use classification: five case studies with hyperspectral and RGB imagery,Neural Computing and Applications,10.1007/s00521-025-11644-1,Bilal ArainAhmed M. AliIbrahim AlrashdiKaram M. SallamMohamed Abdel-Basset,2025,https://link.springer.com/article/10.1007/s00521-025-11644-1,Article,,removed,no,no,no,no
Dual-Path Adversarial Lifting for&#xa0;Domain Shift Correction in&#xa0;Online Test-Time Adaptation,Computer Vision – ECCV 2024,10.1007/978-3-031-72855-6_20,Yushun TangShuoshuo ChenZhihe LuXinchao WangZhihai He,2025,https://link.springer.com/chapter/10.1007/978-3-031-72855-6_20,Conference paper,yes,moved,no,no,no,no
Deep Learning-Based Bloom Filter for Efficient Multi-key Membership Testing,Data Science and Engineering,10.1007/s41019-023-00224-9,Haitian ChenZiwei WangYunchuan LiRuixin YangYan ZhaoRui ZhouKai Zheng,2023,https://link.springer.com/article/10.1007/s41019-023-00224-9,Article,,removed,no,no,no,yes
Deep Learning-Based Computer Vision Methods for Complex Traffic Environments Perception: A&#xa0;Review,Data Science for Transportation,10.1007/s42421-023-00086-7,Talha AzfarJinlong LiHongkai YuRuey L. CheuYisheng LvRuimin Ke,2024,https://link.springer.com/article/10.1007/s42421-023-00086-7,Article,,removed,no,,,
Dynamic dual mining framework for long-tailed out-of-distribution detection,Applied Intelligence,10.1007/s10489-025-06679-9,Bin ShengDengye PanXiaoqiang Li,2025,https://link.springer.com/article/10.1007/s10489-025-06679-9,Article,yes,moved,no,no,no,no
Deep learning-based histotype diagnosis of ovarian carcinoma whole-slide pathology images,Modern Pathology,10.1038/s41379-022-01146-z,Hossein FarahaniJeffrey BoschmanDavid FarnellAmirali DarbandsariAllen ZhangPouya AhmadvandSteven J. M. JonesDavid HuntsmanMartin KöbelC. Blake GilksNaveena SinghAli Bashashati,2022,https://www.nature.com/articles/s41379-022-01146-z,Article,,removed,no,no,no,no
Deep learning-based image classification for integrating pathology and radiology in AI-assisted medical imaging,Scientific Reports,10.1038/s41598-025-07883-w,Chenming LuJiayin ZhangRen Liu,2025,https://link.springer.com/article/10.1038/s41598-025-07883-w,Article,,removed,no,no,no,no
Deep Learning-based Out-of-Distribution Detection and Recognition of Human Activities with IMU Sensors,Sensing Technology,10.1007/978-3-030-98886-9_12,Niall LyonsAvik SantraAshutosh Pandey,2022,https://link.springer.com/chapter/10.1007/978-3-030-98886-9_12,Conference paper,,removed,no,,,
Deep learning-based segmentation of the thorax in mouse micro-CT scans,Scientific Reports,10.1038/s41598-022-05868-7,Justin MalimbanDanny LathouwersHaibin QianFrank VerhaegenJulia WiedemannSytze BrandenburgMarius Staring,2022,https://link.springer.com/article/10.1038/s41598-022-05868-7,Article,,removed,no,no,no,no
Deep learning-based single-shot computational spectrometer using multilayer thin films,Scientific Reports,10.1038/s41598-025-06691-6,David S. BhattiJioh LeeCheolsun KimYoungin ChoiHoon Hahn YoonHeung-No Lee,2025,https://link.springer.com/article/10.1038/s41598-025-06691-6,Article,,removed,no,,,
Deep Learning: Basics and Convolutional Neural Networks (CNNs),Machine Learning for Brain Disorders,10.1007/978-1-0716-3195-9_3,Maria VakalopoulouStergios ChristodoulidisNinon BurgosOlivier ColliotVincent Lepetit,2023,https://link.springer.com/chapter/10.1007/978-1-0716-3195-9_3,Protocol,,removed,no,no,no,no
Deep Neural Network Pruning for&#xa0;Nuclei Instance Segmentation in&#xa0;Hematoxylin and&#xa0;Eosin-Stained Histological Images,Applications of Medical Artificial Intelligence,10.1007/978-3-031-17721-7_12,Amirreza MahbodRahim EntezariIsabella EllingerOlga Saukh,2022,https://link.springer.com/chapter/10.1007/978-3-031-17721-7_12,Conference paper,,removed,no,,,
Deep Neural Network-Based Inner Loop Control for Improved Power Sharing and Voltage Regulation in AC Microgrids,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",10.1007/s40998-025-00945-9,Afshin HasaniHossein Heydari,2025,https://link.springer.com/article/10.1007/s40998-025-00945-9,Article,,removed,no,,,
Deep transfer learning technique to detect white blood cell classification in regular clinical practice using histopathological images,Multimedia Tools and Applications,10.1007/s11042-024-19133-8,K. Anita DavamaniMalathy JawaharL. Jani AnbarasiVinayakumar RaviAlanoud Al MazroaC. R. Rene Robin,2024,https://link.springer.com/article/10.1007/s11042-024-19133-8,Article,,removed,no,no,no,no
Deep transfer operator learning for partial differential equations under conditional shift,Nature Machine Intelligence,10.1038/s42256-022-00569-2,Somdatta GoswamiKatiana KontolatiMichael D. ShieldsGeorge Em Karniadakis,2022,https://link.springer.com/article/10.1038/s42256-022-00569-2,Article,,removed,no,,,
Deep Video Networks for Automatic Assessment of Aortic Stenosis in&#xa0;Echocardiography,Simplifying Medical Ultrasound,10.1007/978-3-030-87583-1_20,Tom GinsbergRo-ee TalMichael TsangCalum MacdonaldFatemeh Taheri DezakiJohn van der KuurChristina LuongPurang AbolmaesumiTeresa Tsang,2021,https://link.springer.com/chapter/10.1007/978-3-030-87583-1_20,Conference paper,,removed,no,no,no,no
Deep-learning-based virtual screening of antibacterial compounds,Nature Biotechnology,10.1038/s41587-025-02814-6,Gabriele ScaliaSteven T. RutherfordZiqing LuKerry R. BuchholzNicholas SkeltonKangway ChuangNathaniel DiamantJan-Christian HütterJerome-Maxim LuescherAnh MiuJeff BlaneyLeo GendelevElizabeth SkippingtonGreg ZyndaNia DicksonMichał KoziarskiYoshua BengioAviv RegevMan-Wah TanTommaso Biancalani,2025,https://link.springer.com/article/10.1038/s41587-025-02814-6,Article,,removed,no,,,
Dynamic margin contrastive learning for open-set recognition in long-tailed sonar imagery,Scientific Reports,10.1038/s41598-025-04877-6,Yu LinShuiyuan HeWeidong Luo,2025,https://link.springer.com/article/10.1038/s41598-025-04877-6,Article,yes,moved,no,no,no,no
Detecting and&#xa0;Learning the&#xa0;Unknown in&#xa0;Semantic Segmentation,Deep Neural Networks and Data for Automated Driving,10.1007/978-3-031-01233-4_10,Robin ChanSvenja UhlemeyerMatthias RottmannHanno Gottschalk,2022,https://link.springer.com/chapter/10.1007/978-3-031-01233-4_10,Chapter,,removed,no,no,no,no
Detecting computer-generated disinformation,International Journal of Data Science and Analytics,10.1007/s41060-021-00299-5,Harald StiffFredrik Johansson,2021,https://link.springer.com/article/10.1007/s41060-021-00299-5,Article,,removed,no,no,no,no
Detecting Concept Shifts Under Different Levels of&#xa0;Self-awareness on&#xa0;Emotion Labeling,Pattern Recognition,10.1007/978-3-031-78201-5_18,HyoSeon ChoiDahoon ChoiNetiwit KaongoenByung Hyung Kim,2025,https://link.springer.com/chapter/10.1007/978-3-031-78201-5_18,Conference paper,,removed,no,no,no,no
Efficient Attention for&#xa0;Domain Generalization,Neural Information Processing,10.1007/978-981-99-8138-0_20,Zhongqiang ZhangGe LiuFuhan CaiDuo LiuXiangzhong Fang,2024,https://link.springer.com/chapter/10.1007/978-981-99-8138-0_20,Conference paper,yes,moved,no,no,no,no
Detecting hallucinations in large language models using semantic entropy,Nature,10.1038/s41586-024-07421-0,Sebastian FarquharJannik KossenLorenz KuhnYarin Gal,2024,https://link.springer.com/article/10.1038/s41586-024-07421-0,Article,,removed,no,no,no,no
Efficient Performance Prediction of End-to-End Autonomous Driving Under Continuous Distribution Shifts Based on Anomaly Detection,Journal of Signal Processing Systems,10.1007/s11265-023-01893-5,Siyu LuanZonghua GuShaohua Wan,2023,https://link.springer.com/article/10.1007/s11265-023-01893-5,Article,yes,moved,yes,no,no,no
Efficient semantic segmentation across domains: enhancing generalization with multi-scale and simple attention modules,The Visual Computer,10.1007/s00371-025-04168-1,Yuan LuoJunlei ChenZerui Yao,2025,https://link.springer.com/article/10.1007/s00371-025-04168-1,Article,yes,moved,no,no,no,no
Detection of&#xa0;Intracranial Hemorrhage for&#xa0;Trauma Patients,Pattern Recognition,10.1007/978-3-031-78341-8_1,Antoine P. SannerNils F. GrauhanMerle MeyerLaura LeukertMarc A. BrockmannAhmed E. OthmanAnirban Mukhopadhyay,2025,https://link.springer.com/chapter/10.1007/978-3-031-78341-8_1,Conference paper,,removed,no,,,
Developing medical imaging AI for emerging infectious diseases,Nature Communications,10.1038/s41467-022-34234-4,Shih-Cheng HuangAkshay S. ChaudhariCurtis P. LanglotzNigam ShahSerena YeungMatthew P. Lungren,2022,https://link.springer.com/article/10.1038/s41467-022-34234-4,Article,,removed,no,,,
Development and prospective implementation of a large language model based system for early sepsis prediction,npj Digital Medicine,10.1038/s41746-025-01689-w,Supreeth P. ShashikumarSina MohammadiRishivardhan KrishnamoorthyAvi PatelGabriel WardiJoseph C. AhnKarandeep SinghEliah Aronoff-SpencerShamim Nemati,2025,https://link.springer.com/article/10.1038/s41746-025-01689-w,Article,,removed,no,no,no,no
Development and validation of a deep learning model for diagnosing neuropathic corneal pain via in vivo confocal microscopy,npj Digital Medicine,10.1038/s41746-025-01577-3,Neslihan Dilruba KoseogluEric ChenRudraksh TuwaniBenjamin KompaStephanie M. CoxM. Cuneyt OzmenMina Massaro-GiordanoAndrew L. BeamPedram Hamrah,2025,https://link.springer.com/article/10.1038/s41746-025-01577-3,Article,,removed,no,no,no,no
Development of a Machine Learning-Based Load Monitoring System for Aircraft Fatigue Life Management,International Journal of Aeronautical and Space Sciences,10.1007/s42405-025-01012-7,Eun Gyo ParkIn Kang HwangHo-Jun LeeJin Yeon ChoJeong Ho KimSeon Ho JeongSol Lee,2025,https://link.springer.com/article/10.1007/s42405-025-01012-7,Article,,removed,no,,,
DeViL: Decoding Vision features into&#xa0;Language,Pattern Recognition,10.1007/978-3-031-54605-1_24,Meghal DaniIsabel Rio-TortoStephan AlanizZeynep Akata,2024,https://link.springer.com/chapter/10.1007/978-3-031-54605-1_24,Conference paper,,removed,no,no,no,no
DGFormer: a physics-guided station level weather forecasting model with dynamic spatial-temporal graph neural network,GeoInformatica,10.1007/s10707-024-00511-1,Zhewen XuXiaohui WeiJieyun HaoJunze HanHongliang LiChangzheng LiuZijian LiDongyuan TianNong Zhang,2024,https://link.springer.com/article/10.1007/s10707-024-00511-1,Article,,removed,no,,,
Energy Transfer Contrast Network for&#xa0;Unsupervised Domain Adaption,MultiMedia Modeling,10.1007/978-3-031-27818-1_10,Jiajun OuyangQingxuan LvShu ZhangJunyu Dong,2023,https://link.springer.com/chapter/10.1007/978-3-031-27818-1_10,Conference paper,yes,moved,no,no,no,no
Enhancing Domain Generalization with&#xa0;Auto-encoders,Intelligent Systems and Applications,10.1007/978-3-031-66329-1_31,Thomas GoerttlerKlaus Obermayer,2024,https://link.springer.com/chapter/10.1007/978-3-031-66329-1_31,Conference paper,yes,moved,no,no,no,no
Diagnosing Faults Across Machines Using Intelligence Deep Neural Network,Proceedings of Data Analytics and Management,10.1007/978-981-96-3352-4_5,Jothi ParanthamanMona Dwivedi,2025,https://link.springer.com/chapter/10.1007/978-981-96-3352-4_5,Conference paper,,removed,no,no,no,no
Enhancing few-shot object detection through mixing and separating tuning strategies,The Visual Computer,10.1007/s00371-025-04043-z,Zhengquan PiaoFuyong FengRuina DangWenzheng WangShichao ZhouYuqi Han,2025,https://link.springer.com/article/10.1007/s00371-025-04043-z,Article,yes,moved,no,no,no,no
Dif4FF: Leveraging Multimodal Diffusion Models and&#xa0;Graph Neural Networks for&#xa0;Accurate New Fashion Product Performance Forecasting,Pattern Recognition,10.1007/978-3-031-78186-5_7,Andrea AvogaroLuigi CapogrossoFranco FummiMarco Cristani,2025,https://link.springer.com/chapter/10.1007/978-3-031-78186-5_7,Conference paper,,removed,no,,,
Out-of-Distribution Forgetting: Vulnerability of&#xa0;Continual Learning to&#xa0;Intra-class Distribution Shift,Pattern Recognition,10.1007/978-3-031-78189-6_8,Liangxuan GuoYang ChenShan Yu,2025,https://link.springer.com/chapter/10.1007/978-3-031-78189-6_8,Conference paper,,removed,no,no,no,yes
Enhancing out-of-distribution learning in computer vision through dominant feature masking,Pattern Analysis and Applications,10.1007/s10044-025-01474-1,Artem PilzakJean-Philippe Thivierge,2025,https://link.springer.com/article/10.1007/s10044-025-01474-1,Article,yes,moved,no,no,no,no
DINI: data imputation using neural inversion for edge applications,Scientific Reports,10.1038/s41598-022-24369-1,Shikhar TuliNiraj K. Jha,2022,https://link.springer.com/article/10.1038/s41598-022-24369-1,Article,,removed,no,no,no,no
Enhancing robustness through domain-generalized semi-supervised learning under limited sample label scarcity,Multimedia Systems,10.1007/s00530-025-01852-z,Lei LiuLi Guo,2025,https://link.springer.com/article/10.1007/s00530-025-01852-z,Article,yes,moved,no,no,no,no
Discovering and forecasting extreme events via active learning in neural operators,Nature Computational Science,10.1038/s43588-022-00376-0,Ethan PickeringStephen GuthGeorge Em KarniadakisThemistoklis P. Sapsis,2022,https://link.springer.com/article/10.1038/s43588-022-00376-0,Article,,removed,no,no,no,no
Ensembling Shift Detectors: An Extensive Empirical Evaluation,Machine Learning and Knowledge Discovery in Databases. Research Track,10.1007/978-3-030-86523-8_22,Simona MaggioLéo Dreyfus-Schmidt,2021,https://link.springer.com/chapter/10.1007/978-3-030-86523-8_22,Conference paper,yes,moved,no,no,no,no
Entropy minimization and domain adversarial training guided by label distribution similarity for domain adaptation,Multimedia Systems,10.1007/s00530-023-01106-w,Fangzheng XuYu BaoBingye LiZhining HouLekang Wang,2023,https://link.springer.com/article/10.1007/s00530-023-01106-w,Article,yes,moved,no,no,no,no
DistilDoc: Knowledge Distillation for&#xa0;Visually-Rich Document Applications,Document Analysis and Recognition - ICDAR 2024,10.1007/978-3-031-70546-5_12,Jordy Van LandeghemSubhajit MaityAyan BanerjeeMatthew BlaschkoMarie-Francine MoensJosep LladósSanket Biswas,2024,https://link.springer.com/chapter/10.1007/978-3-031-70546-5_12,Conference paper,,removed,no,no,no,no
Distilling knowledge from graph neural networks trained on cell graphs to non-neural student models,Scientific Reports,10.1038/s41598-025-13697-7,Vasundhara AcharyaBülent YenerGillian Beamer,2025,https://link.springer.com/article/10.1038/s41598-025-13697-7,Article,,removed,no,,,
Distribution Adaptive-Based Defect Detection Prior to&#xa0;Ship Hull Welding,Data Mining and Big Data,10.1007/978-981-96-7175-5_18,Haoxu MaQuansheng DouYue KongBo Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-7175-5_18,Conference paper,,removed,no,,,
Evaluating Domain Generalization in Kitchen Utensils Classification,Pattern Recognition and Image Analysis,10.1007/978-3-031-36616-1_9,Carlos Garrido-MunozMaría Alfaro-ContrerasJorge Calvo-Zaragoza,2023,https://link.springer.com/chapter/10.1007/978-3-031-36616-1_9,Conference paper,yes,moved,no,no,no,no
Evaluating Reliability in&#xa0;Medical DNNs: A Critical Analysis of&#xa0;Feature and&#xa0;Confidence-Based OOD Detection,Uncertainty for Safe Utilization of Machine Learning in Medical Imaging,10.1007/978-3-031-73158-7_15,Harry AnthonyKonstantinos Kamnitsas,2025,https://link.springer.com/chapter/10.1007/978-3-031-73158-7_15,Conference paper,yes,moved,no,no,no,yes
Exploring distribution-based approaches for out-of-distribution detection in deep learning models,Neural Computing and Applications,10.1007/s00521-024-10912-w,Thiago CarvalhoMarley VellascoJosé Franco Amaral,2024,https://link.springer.com/article/10.1007/s00521-024-10912-w,Article,yes,moved,no,no,no,no
Distributional anchor regression,Statistics and Computing,10.1007/s11222-022-10097-z,Lucas KookBeate SickPeter Bühlmann,2022,https://link.springer.com/article/10.1007/s11222-022-10097-z,Article,,removed,no,yes,no,yes
Exploring feature sparsity for out-of-distribution detection,Scientific Reports,10.1038/s41598-024-79934-7,Qichao ChenKuan LiZhiyuan ChenTomas MaulJianping Yin,2024,https://link.springer.com/article/10.1038/s41598-024-79934-7,Article,yes,moved,no,no,no,no
Towards cosmological inference on unlabeled out-of-distribution HI observational data,Astrophysics and Space Science,10.1007/s10509-025-04405-y,Sambatra AndrianomenaSultan Hassan,2025,https://link.springer.com/article/10.1007/s10509-025-04405-y,Article,,removed,no,no,no,yes
Does deep learning software improve the consistency and performance of radiologists with various levels of experience in assessing bi-parametric prostate MRI?,Insights into Imaging,10.1186/s13244-023-01386-w,Aydan ArslanDeniz AlisServet ErdemliMustafa Ege SekerGokberk ZeybelSabri SiroluSerpil KurtcanErcan Karaarslan,2023,https://link.springer.com/article/10.1186/s13244-023-01386-w,Article,,removed,no,no,no,no
Extreme Consistency: Overcoming Annotation Scarcity and Domain Shifts,Medical Image Computing and Computer Assisted Intervention – MICCAI 2020,10.1007/978-3-030-59710-8_68,Gaurav FotedarNima TajbakhshShilpa AnanthXiaowei Ding,2020,https://link.springer.com/chapter/10.1007/978-3-030-59710-8_68,Conference paper,yes,moved,no,no,no,no
Fast and reliable uncertainty quantification with neural network ensembles for industrial image classification,Annals of Operations Research,10.1007/s10479-024-06440-4,Arthur ThuyDries F. Benoit,2024,https://link.springer.com/article/10.1007/s10479-024-06440-4,Article,yes,moved,no,no,no,no
Domain adaptation with optimized feature distribution for streamer action recognition in live video,International Journal of Machine Learning and Cybernetics,10.1007/s13042-024-02174-8,Chen HeJing ZhangLin ChenHui ZhangLi Zhuo,2024,https://link.springer.com/article/10.1007/s13042-024-02174-8,Article,,removed,no,no,no,no
FeatMatch: Feature-Based Augmentation for Semi-supervised Learning,Computer Vision – ECCV 2020,10.1007/978-3-030-58523-5_28,Chia-Wen KuoChih-Yao MaJia-Bin HuangZsolt Kira,2020,https://link.springer.com/chapter/10.1007/978-3-030-58523-5_28,Conference paper,yes,moved,no,no,no,no
Feature Augmented Meta-Learning on&#xa0;Domain Generalization for&#xa0;Evolving Malware Classification,Algorithms and Architectures for Parallel Processing,10.1007/978-981-96-1528-5_14,Fangwei WangYinhe ChenRuixin SongQingru LiChangguang Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-1528-5_14,Conference paper,yes,moved,no,no,no,no
Feature Diversification and&#xa0;Adaptation for&#xa0;Federated Domain Generalization,Computer Vision – ECCV 2024,10.1007/978-3-031-73220-1_4,Seunghan YangSeokeon ChoiHyunsin ParkSungha ChoiSimyung ChangSungrack Yun,2025,https://link.springer.com/chapter/10.1007/978-3-031-73220-1_4,Conference paper,yes,moved,no,no,no,no
FedMedICL: Towards Holistic Evaluation of&#xa0;Distribution Shifts in&#xa0;Federated Medical Imaging,Medical Image Computing and Computer Assisted Intervention – MICCAI 2024,10.1007/978-3-031-72117-5_36,Kumail AlhamoudYasir GhunaimMotasem AlfarraThomas HartvigsenPhilip TorrBernard GhanemAdel BibiMarzyeh Ghassemi,2024,https://link.springer.com/chapter/10.1007/978-3-031-72117-5_36,Conference paper,yes,yes,yes,no,no,no
FedSoup: Improving Generalization and&#xa0;Personalization in&#xa0;Federated Learning via&#xa0;Selective Model Interpolation,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,10.1007/978-3-031-43895-0_30,Minghui ChenMeirui JiangQi DouZehua WangXiaoxiao Li,2023,https://link.springer.com/chapter/10.1007/978-3-031-43895-0_30,Conference paper,yes,moved,no,no,no,yes
Few-Shot Anomaly-Driven Generation for&#xa0;Anomaly Classification and&#xa0;Segmentation,Computer Vision – ECCV 2024,10.1007/978-3-031-73010-8_13,Guan GuiBin-Bin GaoJun LiuChengjie WangYunsheng Wu,2025,https://link.springer.com/chapter/10.1007/978-3-031-73010-8_13,Conference paper,yes,moved,no,no,no,no
First U-Net Layers Contain More Domain Specific Information Than the Last Ones,"Domain Adaptation and Representation Transfer, and Distributed and Collaborative Learning",10.1007/978-3-030-60548-3_12,Boris ShirokikhIvan ZakazovAlexey ChernyavskiyIrina FedulovaMikhail Belyaev,2020,https://link.springer.com/chapter/10.1007/978-3-030-60548-3_12,Conference paper,yes,moved,no,no,no,no
FissionFusion: Fast Geometric Generation and&#xa0;Hierarchical Souping for&#xa0;Medical Image Analysis,Medical Image Computing and Computer Assisted Intervention – MICCAI 2024,10.1007/978-3-031-72390-2_13,Santosh SanjeevNuren ZhaksylykIbrahim AlmakkyAnees Ur Rehman HashmiMohammad Areeb QaziMohammad Yaqub,2024,https://link.springer.com/chapter/10.1007/978-3-031-72390-2_13,Conference paper,yes,moved,no,no,no,yes
Flexible Distribution Alignment: Towards Long-Tailed Semi-supervised Learning with&#xa0;Proper Calibration,Computer Vision – ECCV 2024,10.1007/978-3-031-72949-2_18,Emanuel Sanchez AimarNathaniel HelgesenYonghao XuMarco KuhlmannMichael Felsberg,2025,https://link.springer.com/chapter/10.1007/978-3-031-72949-2_18,Conference paper,yes,moved,no,no,no,no
Deep learning generalization and the convex hull of training sets,Information Geometry,10.1007/s41884-025-00178-z,Roozbeh Yousefzadeh,2025,https://link.springer.com/article/10.1007/s41884-025-00178-z,Article,,removed,no,no,no,no
DRMC: A Generalist Model with&#xa0;Dynamic Routing for&#xa0;Multi-center PET Image Synthesis,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,10.1007/978-3-031-43898-1_4,Zhiwen YangYang ZhouHui ZhangBingzheng WeiYubo FanYan Xu,2023,https://link.springer.com/chapter/10.1007/978-3-031-43898-1_4,Conference paper,,removed,no,no,no,no
Focal weighting strategy with multi-label multi-scale granularity-aware for out-of-distribution detection,Applied Intelligence,10.1007/s10489-025-06633-9,Xin PengYifei ChengYusheng Cheng,2025,https://link.springer.com/article/10.1007/s10489-025-06633-9,Article,yes,moved,no,no,no,no
DSAT: a dynamic sparse attention transformer for steel surface defect detection with hierarchical feature fusion,Scientific Reports,10.1038/s41598-025-14935-8,Shouluan WuHui YangLiefa LiaoChao SongYating FangJianglong FuTan Li,2025,https://link.springer.com/article/10.1038/s41598-025-14935-8,Article,,removed,no,,,
From labels to priors in capsule endoscopy: a prior guided approach for improving generalization with few labels,Scientific Reports,10.1038/s41598-022-19675-7,Anuja VatsAhmed MohammedMarius Pedersen,2022,https://link.springer.com/article/10.1038/s41598-022-19675-7,Article,yes,moved,no,no,no,no
