Title,QA1: Clear statement of aims and objectives,QA2: Appropriateness of research design,QA3: Rigor of data analysis,QA4: Clarity of findings,QA5: Description of research context,QA6:Reproducibility,TOTAL
Leveraging Registers in Vision Transformers for Robust Adaptation,1,"0,5","0,5",1,1,"0,5","4,5"
MADOD: Generalizing OOD Detection to Unseen Domains via G-Invariance Meta-Learning,1,1,"0,5",1,1,1,"5,5"
Mitigating covariance overfitting in out-of-distribution detection through intrinsic parameter learning,1,1,1,1,1,1,6
Mitigating Distributional Shift in Semantic Segmentation via Uncertainty Estimation From Unlabeled Data,1,1,1,1,,"0,5","4,5"
Multiple Class Novelty Detection Under Data Distribution Shift,1,1,1,1,1,"0,5","5,5"
NEURON ACTIVATION COVERAGE: RETHINKING OUT-OF-DISTRIBUTION DETECTION AND GENERALIZATION,1,"0,5","0,5",1,1,1,5
On the robustness of open-world test-time training: Self-training with dynamic prototype expansion,1,1,1,1,1,1,6
open domain generalization with domain-augmented meta-learning,1,"0,5","0,5",1,1,"0,5","4,5"
Open Set Recognition in Real World,1,"0,5","0,5","0,5",1,1,"4,5"
OPEN-SET DOMAIN GENERALIZATION VIA METRIC LEARNING,"0,5","0,5","0,5",1,1,"0,5",4
Open-set learning under covariate shift,1,"0,5",1,1,1,"0,5",5
OpenMIBOOD: Open Medical Imaging Benchmarks for Out-Of-Distribution Detection,1,"0,5",1,1,1,1,"5,5"
OpenOOD v1.5: Enhanced benchmark for out-of-distribution detection,1,1,1,1,1,1,6
"Out of Distribution Detection, Generalization, and Robustness Triangle with Maximum Probability Theorem",1,"0,5","0,5","0,5",1,"0,5",4
Out-of-Distribution (OOD) Detection and Generalization Improved by Augmenting Adversarial Mixup Samples,1,"0,5",1,1,1,"0,5",5
Out-of-distribution detection in digital pathology: Do foundation models bring the end to reconstruction-based approaches?,1,1,1,1,1,"0,5","5,5"
Out-of-Distribution Learning with Human Feedback,1,"0,5","0,5",1,1,"0,5","4,5"
Out-of-Distribution Segmentation in Autonomous Driving: Problems and State of the Art,1,0,0,"0,5",1,"0,5",3
"Percept, Memory, and Imagine: World Feature Simulating for Open-Domain Unknown Object Detection",1,1,1,1,1,1,6
Pixel-wise energy-biased abstention learning for anomaly segmentation,1,"0,5","0,5",1,1,1,5
Placing Objects in Context via Inpainting for Out-of-Distribution Segmentation,1,1,"0,5",1,1,1,"5,5"
Posterior Network: Uncertainty Estimation without OOD Samples via Density-Based Pseudo-Counts,1,"0,5","0,5","0,5",1,1,"4,5"
predictive sample assignment for semantically coherent out-of-distribution detection,1,"0,5",1,1,1,1,"5,5"
Prototype Governed Contrastive Learning for Robust Image Classification in Histopathology,1,"0,5","0,5",1,1,"0,5","4,5"
Quantifying uncertainty in lung cancer segmentation with foundation models applied to mixed-domain datasets,1,"0,5","0,5",1,1,"0,5","4,5"
RegMixup: Mixup as a Regularizer Can Surprisingly Improve Accuracy & Out-of-Distribution Robustness,1,"0,5","0,5",1,1,1,5
Reliability in Semantic Segmentation: Can We Use Synthetic Data?,1,"0,5","0,5",1,1,1,5
Reliable and Trustworthy Machine Learning for Health Using Dataset Shift Detection,1,"0,5","0,5",1,1,"0,5","4,5"
Rethinking the Evaluation of Out-of-Distribution Detection: A Sorites Paradox,1,"0,5","0,5",1,1,1,5
Revisiting Confidence Estimation: Towards Reliable Failure Prediction,1,"0,5",1,1,1,1,"5,5"
ROADS: Robust Prompt-Driven Multi-Class Anomaly Detection Under Domain Shift,1,"0,5","0,5",1,1,"0,5","4,5"
Robust Uncertainty-Informed Glaucoma Classification Under Data Shift,1,"0,5",1,1,1,"0,5",5
Robustness to Spurious Correlations Improves Semantic Out-of-Distribution Detection,1,1,1,1,1,1,6
ROOD-MRI: Robustness of Segmentation to OOD & Corrupted MRI Data,1,1,1,1,1,1,6
Self-knowledge distillation via dropout,1,"0,5","0,5","0,5",1,"0,5",4
Semantic Novelty Detection via&#xa0;Relational Reasoning,1,"0,5",1,1,1,1,"5,5"
Semantically Coherent Out-of-Distribution Detection,1,1,1,1,1,1,6
Semantically Guided Gradient Matching for Open-Set Domain Generalization,1,"0,5","0,5",1,1,"0,5","4,5"
Semi-Supervised Domain Generalization with Known and Unknown Classes,1,"0,5","0,5",1,1,"0,5","4,5"
Simple Domain Generalization Methods are Strong Baselines for Open Domain Generalization,1,"0,5","0,5",1,1,1,5
SLX: Similarity Learning for X-Ray Screening and Robust Automated Disassembled Object Detection,1,"0,5","0,5",1,1,0,4
SOoD: Self-Supervised Out-of-Distribution Detection Under Domain Shift for Multi-Class Colorectal Cancer Tissue Types,1,1,1,1,1,1,6
STAMP: Outlier-Aware Test-Time Adaptation with Stable Memory Replay,1,1,"0,5",1,1,1,"5,5"
Tackling Distribution Shifts in Task-Oriented Communication With Information Bottleneck,1,1,"0,5","0,5",1,1,5
Test Time Transform Prediction for&#xa0;Open Set Histopathological Image Recognition,1,1,"0,5",1,1,1,"5,5"
The Best of Both Worlds: On the Dilemma of Out-of-distribution Detection,1,"0,5",1,1,1,1,"5,5"
The Effect of Covariate Shift and Network Training on Out-of-Distribution Detection,1,"0,5",1,1,1,1,"5,5"
Towards Building Self-Aware Object Detectors via Reliable Uncertainty Quantification and Calibration,1,"0,5","0,5",1,1,1,5
UGainS: Uncertainty Guided Anomaly Instance Segmentation,1,"0,5","0,5",1,1,1,5
Uncertainty Quantification Based on Block Masking of Test Images,1,"0,5",0,1,1,1,"4,5"
Uncertainty-Aware Optimal Transport for Semantically Coherent Out-of-Distribution Detection,1,"0,5",1,1,1,1,"5,5"
Unexplored Faces of Robustness and Out-of-Distribution: Covariate Shifts in Environment and Sensor Domains,1,0,"0,5",1,1,1,"4,5"
Unified Entropy Optimization for Open-Set Test-Time Adaptation,1,"0,5","0,5",1,1,1,5
Unified Out-Of-Distribution Detection: A Model-Specific Perspective,1,"0,5",1,1,1,"0,5",5
Unveiling the unseen: novel strategies for object detection beyond known distributions,1,"0,5","0,5",1,1,1,5
your data is not perfect: towards cross-domain out-of-distribution detection in class-imbalanced data,1,"0,5","0,5",1,1,"0,5","4,5"
